Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,...18,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
11/05/2020,Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959000
12/05/2020,Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959000
01/04/2020,Delhi,2621,Tested,NA,NA,2621,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://health.delhigovt.nic.in/wps/wcm/connect/068e55804dc3527fb23cf7982ee7a5c7/HB01A.pdf?MOD=AJPERES&lmod=908572962&CACHEID=068e55804dc3527fb23cf7982ee7a5c7,NA,NA,0.00%,6.6,6602,NA,19814000
07/04/2020,Delhi,9041,Tested,576,7308,1157,NA,3120,Institutional,NA,NA,NA,NA,NA,NA,http://health.delhigovt.nic.in/wps/wcm/connect/ed4d3d804dd60b488b60ff982ee7a5c7/HB07A.pdf?MOD=AJPERES&lmod=1435478287&CACHEID=ed4d3d804dd60b488b60ff982ee7a5c7,NA,NA,6.37%,22.77,22773,16,19814000
09/04/2020,Delhi,9968,Tested,720,8643,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://health.delhigovt.nic.in/wps/wcm/connect/doit_health/Health/Home/Covid19/Health+Bulletin,NA,http://health.delhigovt.nic.in/wps/wcm/connect/22522a804ddd430195f5f7d194e333e1/HB09A.pdf,7.22%,25.11,25108,14,19814000
10/04/2020,Delhi,11061,Tested,903,9662,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1248629695614046209?s=09,NA,NA,8.16%,27.86,27861,12,19814000
11/04/2020,Delhi,11709,Tested,1069,10218,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1248998630888845313?s=19,NA,NA,9.13%,29.49,29494,11,19814000
12/04/2020,Delhi,14036,Tested,1154,11748,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1249350539973812224,NA,NA,8.22%,35.36,35355,12,19814000
13/04/2020,Delhi,15032,Tested,1510,12283,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1249744159491031047/photo/2,NA,NA,10.05%,37.86,37864,10,19814000
14/04/2020,Delhi,16282,Tested,1561,13748,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1250087698011803648/photo/2,NA,NA,9.59%,41.01,41013,10,19814000
15/04/2020,Delhi,16605,Tested,1578,13865,956,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1250468383868350469?s=19,NA,NA,9.50%,41.83,41826,11,19814000
16/04/2020,Delhi,18784,Tested,1640,14692,2251,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1250830372830470145?s=20,NA,NA,8.73%,47.31,47315,11,19814000
17/04/2020,Delhi,21409,Tested,1707,16899,2674,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1251190807106777089/photo/2,NA,NA,7.97%,53.93,53927,13,19814000
18/04/2020,Delhi,22283,Tested,1893,17449,2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1251559869494198282?s=19,NA,NA,8.50%,56.13,56128,12,19814000
19/04/2020,Delhi,24387,Tested,2003,19393,2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1251923081699811328?s=09,NA,NA,8.21%,61.43,61428,12,19814000
20/04/2020,Delhi,25900,Tested,2081,20712,2711,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1252276384166100994/photo/2,NA,NA,8.03%,65.24,65239,12,19814000
21/04/2020,Delhi,26627,Tested,2156,21810,2354,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1252608476578078721/photo/2,NA,NA,8.10%,67.07,67071,12,19814000
22/04/2020,Delhi,28309,Tested,2248,22713,3018,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1252978551088984066/photo/2,NA,NA,7.94%,71.31,71307,13,19814000
23/04/2020,Delhi,30560,Tested,2375,24538,3068,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1253345233498226689?s=19,NA,NA,7.77%,76.98,76977,13,19814000
24/04/2020,Delhi,33672,Tested,2514,26552,4128,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1253715491987664897/photo/2,NA,NA,7.47%,84.82,84816,13,19814000
25/04/2020,Delhi,35519,Tested,2625,28693,3709,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1254081976631545856?s=20,NA,NA,7.39%,89.47,89469,14,19814000
26/04/2020,Delhi,37613,Tested,2918,31919,2533,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1254453744063754240?s=09,NA,NA,7.76%,94.74,94743,13,19814000
27/04/2020,Delhi,39911,Tested,3108,34145,2401,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1254813927067668480/photo/2,NA,NA,7.79%,100.53,100531,13,19814000
28/04/2020,Delhi,43370,Tested,3314,36195,3295,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1255176666017492995/photo/2,NA,NA,7.64%,109.24,109244,13,19814000
29/04/2020,Delhi,47225,Tested,3439,39920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/CMODelhi/status/1255550560348049411,NA,NA,7.28%,118.95,118955,14,19814000
30/04/2020,Delhi,NA,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19814000
01/05/2020,Delhi,NA,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19814000
02/05/2020,Delhi,58210,Tested,4122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2002.05.2020.pdf,NA,NA,7.08%,146.62,146625,14,19814000
03/05/2020,Delhi,60246,Tested,4549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2003.05.2020.pdf,NA,NA,7.55%,151.75,151753,13,19814000
04/05/2020,Delhi,64108,Tested,4898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2004.05.2020.pdf,NA,NA,7.64%,161.48,161481,13,19814000
05/05/2020,Delhi,67852,Tested,5104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2005.05.2020.pdf,NA,NA,7.52%,170.91,170912,13,19814000
06/05/2020,Delhi,71934,Tested,5532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2006.05.2020.pdf,NA,NA,7.69%,181.19,181194,13,19814000
07/05/2020,Delhi,77234,Tested,5980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2007.05.2020.pdf,NA,NA,7.74%,194.54,194544,13,19814000
08/05/2020,Delhi,81367,Tested,6318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-08.05.2020.pdf,NA,NA,7.76%,204.95,204955,13,19814000
09/05/2020,Delhi,84226,Tested,6542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-09.05.2020.pdf,NA,NA,7.77%,212.16,212156,13,19814000
10/05/2020,Delhi,93810,Tested,6923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-10.05.2020.pdf,NA,NA,7.38%,236.3,236297,14,19814000
11/05/2020,Delhi,97678,Tested,7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-11.05.2020.pdf,NA,NA,7.40%,246.04,246040,14,19814000
12/05/2020,Delhi,106109,Tested,7639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-12-1.pdf,NA,NA,7.20%,267.28,267277,14,19814000
13/05/2020,Delhi,113345,Tested,7998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-13.pdf,NA,NA,7.06%,285.5,285504,14,19814000
14/05/2020,Delhi,119736,Tested,8470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-14.pdf,NA,NA,7.07%,301.6,301602,14,19814000
15/05/2020,Delhi,125189,Tested,8895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-15.pdf,NA,NA,7.11%,315.34,315338,14,19814000
16/05/2020,Delhi,130845,Tested,9333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-16.pdf,NA,NA,7.13%,329.58,329584,14,19814000
17/05/2020,Delhi,135791,Tested,9755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/4931?single,NA,NA,7.18%,342.04,342043,14,19814000
18/05/2020,Delhi,139727,Tested,10054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-18.pdf,NA,NA,7.20%,351.96,351957,14,19814000
19/05/2020,Delhi,145854,Tested,10554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-19.pdf,NA,NA,7.24%,367.39,367390,14,19814000
20/05/2020,Delhi,150282,Tested,11088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-20.pdf,NA,NA,7.38%,378.54,378544,14,19814000
21/05/2020,Delhi,154385,Tested,11659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-21.pdf,NA,NA,7.55%,388.88,388879,13,19814000
22/05/2020,Delhi,160255,Tested,12319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-22.pdf,NA,NA,NA,NA,NA,NA,NA
23/05/2020,Delhi,165047,Tested,12910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://delhifightscorona.in/wp-content/uploads/2020/05/05-23.pdf,NA,NA,NA,NA,NA,NA,NA
02/04/2020,Goa,220,Samples Sent,5,197,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.goa.gov.in/wp-content/uploads/2020/04/Media-Bulletin-02.04.2020.pdf,NA,NA,2.27%,0.55,554,44,1540000
09/04/2020,Goa,344,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/dip_goa/status/1248237654258352129?s=09,NA,NA,2.03%,0.87,866,49,1540000
10/04/2020,Goa,354,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1248609175241764872/photo/1,NA,NA,1.98%,0.89,892,51,1540000
12/04/2020,Goa,406,Samples Sent,7,NA,NA,NA,202,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1249332036751347713,NA,NA,1.72%,1.02,1023,58,1540000
13/04/2020,Goa,440,Samples Sent,7,NA,NA,NA,202,Facility,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2180,NA,NA,1.59%,1.11,1108,63,1540000
14/04/2020,Goa,479,Samples Sent,7,NA,NA,NA,202,Facility,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2280,NA,NA,1.46%,1.21,1207,68,1540000
15/04/2020,Goa,556,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1250412621158690818?s=19,NA,NA,1.26%,1.4,1401,79,1540000
16/04/2020,Goa,611,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1250772892956028930?s=19,NA,NA,1.15%,1.54,1539,87,1540000
17/04/2020,Goa,673,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1251147496824303620,NA,NA,1.04%,1.7,1695,96,1540000
18/04/2020,Goa,758,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1251500960444104704,NA,NA,0.92%,1.91,1909,108,1540000
19/04/2020,Goa,826,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1251858305669980160,NA,NA,0.85%,2.08,2081,118,1540000
20/04/2020,Goa,901,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1252228312107118593,NA,NA,0.78%,2.27,2270,129,1540000
21/04/2020,Goa,1004,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1252606575077847040,NA,NA,0.70%,2.53,2529,143,1540000
22/04/2020,Goa,1116,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1253201084950016000?s=19,NA,NA,0.63%,2.81,2811,159,1540000
23/04/2020,Goa,1206,Samples Sent,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1253330859903479814,NA,NA,0.58%,3.04,3038,172,1540000
24/04/2020,Goa,NA,Samples Sent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540000
27/04/2020,Goa,1541,Samples Sent,7,NA,NA,NA,316,Facility,NA,NA,NA,NA,NA,NA,https://nhm.goa.gov.in/,NA,NA,0.45%,3.88,3882,220,1540000
28/04/2020,Goa,1776,Samples Sent,7,NA,NA,NA,330,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1255132758822678530?s=19,NA,NA,0.39%,4.47,4474,254,1540000
29/04/2020,Goa,1871,Samples Sent,7,NA,NA,NA,347,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1255509839742148608?s=09,NA,NA,0.37%,4.71,4713,267,1540000
30/04/2020,Goa,2031,Samples Sent,7,NA,NA,NA,430,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1255876950222008320/photo/1,NA,NA,0.34%,5.12,5116,290,1540000
01/05/2020,Goa,2181,Samples Sent,7,NA,NA,NA,468,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1256231452225798144/photo/1,NA,NA,0.32%,5.49,5494,312,1540000
02/05/2020,Goa,2372,Samples Sent,7,NA,NA,NA,584,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1256595499823529985?s=09,NA,NA,0.30%,5.97,5975,339,1540000
03/05/2020,Goa,2548,Samples Sent,7,NA,NA,NA,805,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1256951473553850371?s=09,NA,NA,0.27%,6.42,6418,364,1540000
04/05/2020,Goa,2899,Samples Sent,7,NA,NA,NA,981,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1257325604912824321?s=19,NA,NA,0.24%,7.3,7302,414,1540000
05/05/2020,Goa,3096,Samples Sent,7,NA,NA,NA,1063,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1257683623370805250?s=19,NA,NA,0.23%,7.8,7798,442,1540000
06/05/2020,Goa,3411,Samples Sent,7,NA,NA,NA,1251,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1258058668999835648/photo/1,NA,NA,0.21%,8.59,8592,487,1540000
08/05/2020,Goa,4140,Samples Sent,7,NA,NA,NA,1661,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1258776339311521793?s=09,NA,NA,0.17%,10.43,10428,591,1540000
09/05/2020,Goa,4524,Samples Sent,7,NA,NA,NA,1974,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1259136672094019585?s=19,NA,NA,0.15%,11.4,11395,646,1540000
10/05/2020,Goa,4848,Samples Sent,7,NA,NA,NA,2223,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1259500127976226819?s=09,NA,NA,0.14%,12.21,12212,693,1540000
11/05/2020,Goa,5307,Samples Sent,7,NA,NA,NA,2503,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1259877518787481602,NA,NA,0.13%,13.37,13368,758,1540000
14/05/2020,Goa,6736,Samples Sent,7,NA,NA,NA,3080,Facility,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/2,NA,https://nhm.goa.gov.in/,0.10%,16.97,16967,962,1540000
15/05/2020,Goa,7304,Samples Sent,7,NA,NA,NA,3787,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1261315531480719360?s=19,NA,https://nhm.goa.gov.in/,0.10%,18.4,18398,1043,1540000
16/05/2020,Goa,8011,Samples Sent,20,NA,NA,NA,4126,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1261709817351032832?s=19,NA,NA,0.25%,20.18,20179,401,1540000
17/05/2020,Goa,8785,Samples Sent,29,NA,NA,NA,4525,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1262066274642784257?s=19,NA,NA,0.33%,22.13,22128,303,1540000
18/05/2020,Goa,8785,Samples Sent,29,NA,NA,NA,4525,Facility,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/53,NA,https://nhm.goa.gov.in/,0.33%,22.13,22128,303,1540000
19/05/2020,Goa,9549,Samples Sent,46,NA,NA,NA,5072,Facility,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/5130,NA,https://nhm.goa.gov.in/,0.48%,24.05,24053,208,1540000
20/05/2020,Goa,10136,Samples Sent,50,NA,NA,NA,5394,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1263108360653516800,NA,NA,0.49%,25.53,25531,203,1540000
21/05/2020,Goa,10859,Samples Sent,52,NA,NA,NA,5773,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1263462554237636610?s=19,NA,https://t.me/indiacovid/5259,0.48%,27.35,27353,209,1540000
22/05/2020,Goa,11362,Samples Sent,54,NA,NA,NA,6020,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/DHS_Goa/status/1263826561528000514,NA,https://t.me/indiacovid/5322,NA,NA,NA,NA,NA
23/05/2020,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/04/2020,Gujarat,4224,Tested,186,3905,133,NA,12299,All Included,NA,NA,NA,1761,NA,NA,https://t.me/indiacovid/1850?single,NA,NA,4.40%,10.64,10640,23,67936000
10/04/2020,Gujarat,7718,Tested,378,7237,103,NA,NA,All Included,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/1994?single,NA,NA,4.90%,19.44,19441,20,67936000
11/04/2020,Gujarat,9763,Tested,468,8888,407,NA,12042,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/,NA,NA,4.79%,24.59,24592,21,67936000
12/04/2020,Gujarat,11715,Tested,516,10867,332,NA,14013,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1204122020080245240.pdf,NA,https://gujcovid19.gujarat.gov.in/,4.40%,29.51,29509,23,67936000
13/04/2020,Gujarat,14251,Tested,572,12970,709,NA,NA,All Included,14204,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1304132020080356644.pdf,4.01%,35.9,35897,25,67936000
14/04/2020,Gujarat,14980,Tested,617,14363,NA,NA,NA,All Included,NA,NA,NA,NA,NA,41112,https://gujcovid19.gujarat.gov.in/,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1404142020112010574.pdf,4.12%,37.73,37733,24,67936000
15/04/2020,Gujarat,19197,Tested,766,18431,0,NA,15147,All Included,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2364?single,NA,NA,3.99%,48.36,48355,25,67936000
16/04/2020,Gujarat,20903,Tested,929,19974,0,NA,14906,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1604162020113223580.pdf,NA,NA,4.44%,52.65,52652,23,67936000
17/04/2020,Gujarat,23483,Tested,1099,22339,45,NA,15914,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1704172020075526411.pdf,NA,NA,4.68%,59.15,59151,21,67936000
18/04/2020,Gujarat,26102,Tested,1376,24726,0,NA,16925,All Included,NA,NA,NA,NA,NA,NA,https://twitter.com/PIBAhmedabad/status/1251515915323289601,NA,NA,5.27%,65.75,65748,19,67936000
19/04/2020,Gujarat,29104,Tested,1743,27361,0,NA,18540,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1904192020081511588.pdf,NA,NA,5.99%,73.31,73310,17,67936000
20/04/2020,Gujarat,33316,Tested,1939,31377,0,NA,23749,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2004202020085436665.pdf,NA,NA,5.82%,83.92,83919,17,67936000
21/04/2020,Gujarat,36829,Tested,2178,34651,0,NA,30354,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2104212020084254089.pdf,NA,NA,5.91%,92.77,92768,17,67936000
22/04/2020,Gujarat,39421,Tested,2407,37014,0,NA,32317,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2204222020082020535.pdf,NA,https://gujcovid19.gujarat.gov.in/,6.11%,99.3,99297,16,67936000
23/04/2020,Gujarat,42384,Tested,2624,39760,0,NA,34409,All Included,NA,NA,NA,28,NA,53060,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2304232020085856435.pdf,NA,NA,6.19%,106.76,106761,16,67936000
24/04/2020,Gujarat,46743,Tested,2815,41007,2921,NA,33734,All Included,NA,NA,NA,NA,NA,54151,https://gujcovid19.gujarat.gov.in/,NA,NA,6.02%,117.74,117741,17,67936000
25/04/2020,Gujarat,48315,Tested,3061,45254,0,NA,36730,All Included,NA,NA,NA,30,NA,55188,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2504252020100330249.pdf,NA,NA,6.34%,121.7,121700,16,67936000
26/04/2020,Gujarat,51091,Tested,3301,47790,0,NA,39535,All Included,NA,NA,NA,27,NA,56269,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2604262020085308375.pdf,NA,NA,6.46%,128.69,128693,15,67936000
27/04/2020,Gujarat,53575,Tested,3547,50028,0,NA,40851,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2704272020081006359.pdf,NA,NA,6.62%,134.95,134950,15,67936000
28/04/2020,Gujarat,56101,Tested,3774,52327,0,NA,41417,All Included,NA,NA,NA,NA,NA,58828,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2804282020081458432.pdf,NA,NA,6.73%,141.31,141312,15,67936000
29/04/2020,Gujarat,59488,Tested,4082,55406,0,NA,42390,All Included,NA,NA,NA,NA,NA,60855,https://twitter.com/PIBAhmedabad/status/1255510142499643393,NA,NA,6.86%,149.84,149844,15,67936000
30/04/2020,Gujarat,64007,Tested,4395,59612,0,NA,45089,All Included,NA,NA,NA,NA,NA,65325,https://gujcovid19.gujarat.gov.in/uploads/pressbrief3004302020081246734.pdf,NA,NA,6.87%,161.23,161227,15,67936000
01/05/2020,Gujarat,68774,Tested,4721,64053,0,NA,43871,All Included,NA,NA,NA,NA,NA,72248,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0105012020085136642.pdf,NA,NA,6.86%,173.23,173234,15,67936000
02/05/2020,Gujarat,74116,Tested,5054,69062,0,NA,45739,All Included,NA,NA,NA,NA,NA,75691,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0205022020080859502.pdf,NA,NA,6.82%,186.69,186690,15,67936000
03/05/2020,Gujarat,80060,Tested,5428,74632,0,NA,47147,All Included,NA,NA,NA,NA,NA,85937,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0305032020084023552.pdf,NA,NA,6.78%,201.66,201662,15,67936000
04/05/2020,Gujarat,84648,Tested,5804,78844,0,NA,50983,All Included,NA,NA,NA,NA,NA,87996,https://gujcovid19.gujarat.gov.in/,NA,NA,6.86%,213.22,213219,15,67936000
05/05/2020,Gujarat,89632,Tested,6245,83387,0,NA,50612,All Included,NA,NA,NA,NA,NA,89902,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0505052020082704549.pdf,NA,NA,6.97%,225.77,225773,14,67936000
06/05/2020,Gujarat,95191,Tested,6625,88566,0,NA,58063,All Included,NA,NA,NA,NA,NA,91642,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0605062020084004466.pdf,NA,NA,6.96%,239.78,239776,14,67936000
07/05/2020,Gujarat,100553,Tested,7013,93540,0,NA,66861,All Included,NA,NA,NA,NA,NA,93508,https://t.me/indiacovid/4220?single,NA,NA,6.97%,253.28,253282,14,67936000
08/05/2020,Gujarat,105386,Tested,7403,97984,0,NA,77798,All Included,NA,NA,NA,NA,NA,95161,https://gujcovid19.gujarat.gov.in/,NA,NA,7.02%,265.46,265456,14,67936000
09/05/2020,Gujarat,109650,Tested,7797,101853,0,NA,88864,All Included,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/,NA,NA,7.11%,276.2,276196,14,67936000
