Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,...12,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,...21,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
05/05/2020,Gujarat,89632,Tested,6245,83387,0,NA,50612,All Included,NA,NA,NA,NA,NA,NA,NA,NA,89902,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0505052020082704549.pdf,NA,NA,6.97%,1.32,1319,14,67936000
06/05/2020,Gujarat,95191,Tested,6625,88566,0,NA,58063,All Included,NA,NA,NA,NA,NA,NA,NA,NA,91642,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0605062020084004466.pdf,NA,NA,6.96%,1.4,1401,14,67936000
07/05/2020,Gujarat,100553,Tested,7013,93540,0,NA,66861,All Included,NA,NA,NA,NA,NA,NA,NA,NA,93508,https://t.me/indiacovid/4220?single,NA,NA,6.97%,1.48,1480,14,67936000
08/05/2020,Gujarat,105386,Tested,7403,97984,0,NA,77798,All Included,NA,NA,NA,NA,NA,NA,NA,NA,95161,https://gujcovid19.gujarat.gov.in/,NA,NA,7.02%,1.55,1551,14,67936000
09/05/2020,Gujarat,109650,Tested,7797,101853,0,NA,88864,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/,NA,NA,7.11%,1.61,1614,14,67936000
10/05/2020,Gujarat,113493,Tested,8195,105298,0,NA,103035,All Included,NA,NA,NA,NA,NA,NA,NA,NA,98359,https://www.deshgujarat.com/2020/05/10/live-daily-briefing-of-health-department-govt-of-gujarat-by-dr-jayanti-ravi/,NA,NA,7.22%,1.67,1671,14,67936000
11/05/2020,Gujarat,116470,Tested,8541,107929,0,NA,116072,All Included,NA,NA,NA,NA,NA,NA,NA,NA,99813,https://gujcovid19.gujarat.gov.in/,NA,NA,7.33%,1.71,1714,14,67936000
12/05/2020,Gujarat,119536,Tested,8903,110633,0,NA,151147,All Included,NA,NA,NA,NA,NA,NA,NA,NA,101105,https://gujcovid19.gujarat.gov.in/,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1205122020084721437.pdf,7.45%,1.76,1760,13,67936000
13/05/2020,Gujarat,122297,Tested,9268,113029,0,NA,NA,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/,NA,NA,7.58%,1.8,1800,13,67936000
14/05/2020,Gujarat,124708,Tested,9591,115117,0,NA,242866,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/,NA,NA,7.69%,1.84,1836,13,67936000
15/05/2020,Gujarat,127859,Tested,9932,117927,0,NA,267787,All Included,NA,NA,NA,NA,NA,NA,NA,NA,105043,https://www.deshgujarat.com/2020/05/15/live-daily-briefing-of-gujarat-health-department-by-dr-jayanti-ravi-2/,NA,NA,7.77%,1.88,1882,13,67936000
16/05/2020,Gujarat,138407,Tested,10989,127418,0,NA,300633,All Included,NA,NA,NA,NA,NA,NA,NA,NA,106152,https://twitter.com/PIBAhmedabad/status/1261669285484793857,NA,NA,7.94%,2.04,2037,13,67936000
17/05/2020,Gujarat,143600,Tested,11380,132220,0,NA,423882,All Included,NA,NA,NA,NA,NA,NA,NA,NA,107320,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1705172020094025732.pdf,NA,NA,7.92%,2.11,2114,13,67936000
18/05/2020,Gujarat,148824,Tested,11746,137078,0,NA,441627,All Included,NA,NA,NA,NA,NA,NA,NA,NA,108463,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1805182020081908578.pdf,NA,NA,7.89%,2.19,2191,13,67936000
19/05/2020,Gujarat,154674,Tested,12141,142533,0,NA,458872,All Included,NA,NA,NA,NA,NA,NA,NA,NA,109685,https://twitter.com/PIBAhmedabad/status/1262752065912049664,NA,NA,7.85%,2.28,2277,13,67936000
20/05/2020,Gujarat,160772,Tested,12539,148233,0,NA,476084,All Included,NA,NA,NA,NA,NA,NA,NA,NA,110864,https://www.deshgujarat.com/2020/05/20/gujarat-covid19-case-total-12539-new-398-cases-176-discharged-in-24-hours/,NA,NA,7.80%,2.37,2367,13,67936000
21/05/2020,Gujarat,166152,Tested,12910,153242,0,NA,496730,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PIBAhmedabad/status/1263476088816177152?s=20,NA,NA,7.77%,2.45,2446,13,67936000
22/05/2020,Gujarat,172562,Tested,13273,159289,0,NA,431143,All Included,NA,NA,NA,NA,NA,NA,NA,NA,113311,https://twitter.com/PIBAhmedabad/status/1263847223785390080/photo/3,NA,NA,7.69%,2.54,2540,13,67936000
23/05/2020,Gujarat,178068,Tested,13669,164399,0,NA,482434,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2305232020073105292.pdf,NA,NA,7.68%,2.62,2621,13,67936000
24/05/2020,Gujarat,182868,Tested,14056,168806,6,NA,465312,All Included,NA,NA,NA,NA,NA,NA,NA,NA,115300,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2405242020094425849.pdf,NA,NA,7.69%,2.69,2692,13,67936000
25/05/2020,Gujarat,186361,Tested,14468,171893,0,NA,442597,All Included,NA,NA,NA,NA,NA,NA,NA,NA,116339,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2505252020064620368.pdf,NA,NA,7.76%,2.74,2743,13,67936000
26/05/2020,Gujarat,189313,Tested,14821,NA,NA,NA,364603,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/175,NA,NA,7.83%,2.79,2787,13,67936000
27/05/2020,Gujarat,193863,Tested,15203,NA,NA,NA,352319,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2705272020091825307.pdf,NA,NA,7.84%,2.85,2854,13,67936000
28/05/2020,Gujarat,198048,Tested,15572,NA,NA,NA,313729,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.deshgujarat.com/2020/05/28/gujarat-covid19-cases-update-4/,NA,NA,7.86%,2.92,2915,13,67936000
29/05/2020,Gujarat,201481,Tested,15944,NA,NA,NA,272409,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PIBAhmedabad/status/1266374536498262016,NA,NA,7.91%,2.97,2966,13,67936000
30/05/2020,Gujarat,205780,Tested,16356,NA,NA,NA,253845,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/GujHFWDept/status/1266732895776931842?s=20,NA,NA,7.95%,3.03,3029,13,67936000
31/05/2020,Gujarat,211930,Tested,16794,NA,NA,NA,244999,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief3105312020094907621.pdf,NA,NA,7.92%,3.12,3120,13,67936000
01/06/2020,Gujarat,216258,Tested,17217,NA,NA,NA,241046,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0106012020111410812.pdf,NA,NA,7.96%,3.18,3183,13,67936000
02/06/2020,Gujarat,221610,Tested,17632,NA,NA,NA,235017,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/GujHFWDept/status/1267826288942657540?s=19,NA,NA,7.96%,3.26,3262,13,67936000
03/06/2020,Gujarat,227898,Tested,18117,NA,NA,NA,232833,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/GujHFWDept/status/1268182658229645313?s=20,NA,NA,7.95%,3.35,3355,13,67936000
04/06/2020,Gujarat,233921,Tested,18609,NA,NA,NA,220695,All Included,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/04/2020,Haryana,1325,Samples Sent,44,938,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/BULLETIN%20EVENING03042020.pdf,NA,NA,3.32%,0.05,46,30,28672000
07/04/2020,Haryana,2520,Samples Sent,141,1821,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020Morning.pdf,NA,NA,5.60%,0.09,88,18,28672000
08/04/2020,Haryana,2650,Samples Sent,153,1885,612,NA,NA,NA,NA,NA,8649,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020%20evening.pdf,NA,NA,5.77%,0.09,92,17,28672000
09/04/2020,Haryana,2964,Samples Sent,156,2017,719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2009042020evening.pdf,NA,NA,5.26%,0.1,103,19,28672000
10/04/2020,Haryana,3527,Samples Sent,162,2447,918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2010042020%20evening.pdf,NA,NA,4.59%,0.12,123,22,28672000
11/04/2020,Haryana,3663,Samples Sent,165,2472,1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/indiacovid/2051,NA,NA,4.50%,0.13,128,22,28672000
12/04/2020,Haryana,3903,Samples Sent,181,2513,1209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin12042020%20evening.pdf,NA,NA,4.64%,0.14,136,22,28672000
13/04/2020,Haryana,4489,Samples Sent,182,2961,1346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%201342020%20Evening.pdf,NA,http://www.nhmharyana.gov.in/page.aspx?id=208,4.05%,0.16,157,25,28672000
14/04/2020,Haryana,5210,Samples Sent,184,3681,1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nrhmhp.gov.in/,NA,http://www.nhmharyana.gov.in/page.aspx?id=208,3.53%,0.18,182,28,28672000
15/04/2020,Haryana,7388,Samples Sent,190,5581,1617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20date%2015042020evening.pdf,NA,NA,2.57%,0.26,258,39,28672000
16/04/2020,Haryana,8064,Samples Sent,214,6465,1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%2016-04-2020%20Evening.pdf,NA,NA,2.65%,0.28,281,38,28672000
17/04/2020,Haryana,8884,Samples Sent,223,7148,1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin17_04_2020_Evening.pdf,NA,NA,2.51%,0.31,310,40,28672000
18/04/2020,Haryana,10454,Samples Sent,232,8093,2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20-Morning-%2018-04-2020.pdfhttp://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20Evening%2018-04-2020.pdf,NA,NA,2.22%,0.36,365,45,28672000
19/04/2020,Haryana,12687,Samples Sent,250,10230,2221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%2019th%20Aprilevening.pdf,NA,NA,1.97%,0.44,442,51,28672000
20/04/2020,Haryana,13894,Samples Sent,251,11523,2134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2020-04-2020.pdf,NA,NA,1.81%,0.48,485,55,28672000
21/04/2020,Haryana,14562,Samples Sent,255,12253,2068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2021-04-2020.pdf,NA,NA,1.75%,0.51,508,57,28672000
22/04/2020,Haryana,15561,Samples Sent,264,13397,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2022-04-2020.pdf,NA,NA,1.70%,0.54,543,59,28672000
23/04/2020,Haryana,17582,Samples Sent,270,15452,1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2023-04-2020.pdf,NA,NA,1.54%,0.61,613,65,28672000
24/04/2020,Haryana,18845,Samples Sent,275,16642,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2024-04-2020.pdf,NA,NA,1.46%,0.66,657,69,28672000
25/04/2020,Haryana,20270,Samples Sent,287,17787,2196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2025-04-2020.pdf,NA,NA,1.42%,0.71,707,71,28672000
26/04/2020,Haryana,21467,Samples Sent,296,19241,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2026-04-2020.pdf,NA,NA,1.38%,0.75,749,73,28672000
27/04/2020,Haryana,22993,Samples Sent,301,20702,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2027-04-2020.pdf,NA,NA,1.31%,0.8,802,76,28672000
28/04/2020,Haryana,24826,Samples Sent,308,22578,1940,NA,NA,NA,NA,NA,8734,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%20%2028-04-2020.pdf,NA,NA,1.24%,0.87,866,81,28672000
29/04/2020,Haryana,26148,Samples Sent,311,24071,1766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2029-04-2020.pdf,NA,NA,1.19%,0.91,912,84,28672000
30/04/2020,Haryana,28202,Samples Sent,339,25929,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Buletin%20%2030-04-2020.pdf,NA,NA,1.20%,0.98,984,83,28672000
01/05/2020,Haryana,30191,Samples Sent,357,27784,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2001-05-2020.pdf,NA,NA,1.18%,1.05,1053,85,28672000
02/05/2020,Haryana,31200,Samples Sent,369,28867,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Morning%20Bulletin%2002-05-2020.pdf,NA,NA,1.18%,1.09,1088,85,28672000
03/05/2020,Haryana,35278,Samples Sent,442,32583,2253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2003-05-2020.pdf,NA,NA,1.25%,1.23,1230,80,28672000
04/05/2020,Haryana,38183,Samples Sent,517,34501,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%204-05-2020.pdf,NA,NA,1.35%,1.33,1332,74,28672000
05/05/2020,Haryana,40982,Samples Sent,548,36806,3574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2005-05-2020.pdf,NA,NA,1.34%,1.43,1429,75,28672000
06/05/2020,Haryana,43279,Samples Sent,594,38590,4095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2006-05-2020.pdf,NA,NA,1.37%,1.51,1509,73,28672000
07/05/2020,Haryana,46495,Samples Sent,625,41861,4009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2007-05-2020.pdf,NA,NA,1.34%,1.62,1622,74,28672000
08/05/2020,Haryana,49746,Samples Sent,647,43974,5125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2008-05-2020.pdf,NA,NA,1.30%,1.74,1735,77,28672000
09/05/2020,Haryana,53282,Samples Sent,675,48468,4139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20of%20COVID%2019%20as%20on%20090520%20Evening.pdf,NA,NA,1.27%,1.86,1858,79,28672000
10/05/2020,Haryana,56983,Samples Sent,703,51046,5234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2010-05-2020.pdf,NA,NA,1.23%,1.99,1987,81,28672000
11/05/2020,Haryana,59735,Samples Sent,730,53697,5308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2011-05-2020.pdf,NA,NA,1.22%,2.08,2083,82,28672000
12/05/2020,Haryana,62377,Samples Sent,780,56440,5157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2012-05-2020.pdf,NA,NA,1.25%,2.18,2176,80,28672000
13/05/2020,Haryana,65785,Samples Sent,793,59890,5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2013-05-2020.pdf,NA,NA,1.21%,2.29,2294,83,28672000
14/05/2020,Haryana,69191,Samples Sent,818,63791,4582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2014-05-2020.pdf,NA,https://t.me/indiacovid/4751,1.18%,2.41,2413,85,28672000
15/05/2020,Haryana,72326,Samples Sent,854,66687,4785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2015-05-2020.pdf,NA,https://t.me/indiacovid/4802,1.18%,2.52,2523,85,28672000
16/05/2020,Haryana,75097,Samples Sent,887,69660,4550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%20of%20COVID%2019%20as%20on%2016-05-2020.pdf,NA,https://t.me/indiacovid/4869,1.18%,2.62,2619,85,28672000
17/05/2020,Haryana,78029,Samples Sent,910,72494,4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2017-05-2020.pdf,NA,https://t.me/indiacovid/4965,1.17%,2.72,2721,86,28672000
18/05/2020,Haryana,80698,Samples Sent,928,75045,4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2018-05-20%20Evening.pdf,NA,NA,1.15%,2.81,2815,87,28672000
19/05/2020,Haryana,82544,Samples Sent,964,77296,4284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2019.05.20%20evening%201.pdf,NA,https://t.me/indiacovid/5110,1.17%,2.88,2879,86,28672000
20/05/2020,Haryana,83944,Samples Sent,970,78379,4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20bulletin%20of%20COVID%2019%20as%20on%2020-05-20Morning.pdf,NA,NA,1.16%,2.93,2928,87,28672000
21/05/2020,Haryana,88138,Samples Sent,1031,82372,4735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulleitin%2021-05-2020%20Evening.pdf,NA,NA,1.17%,3.07,3074,85,28672000
22/05/2020,Haryana,91119,Samples Sent,1067,85317,4735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20bulletin%2022-05-20%20Evening.pdf,NA,https://t.me/indiacovid/5330,1.17%,3.18,3178,85,28672000
23/05/2020,Haryana,94035,Samples Sent,1131,88051,4853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%20Evening%2023-05-2020.pdf,NA,NA,1.20%,3.28,3280,83,28672000
24/05/2020,Haryana,97006,Samples Sent,1184,91138,4684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2024-05-2020%20Evening.pdf,NA,NA,1.22%,3.38,3383,82,28672000
25/05/2020,Haryana,99987,Samples Sent,1213,94725,4049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2025-05-2020%20Evening.pdf,NA,NA,1.21%,3.49,3487,82,28672000
26/05/2020,Haryana,102018,Samples Sent,1305,97350,3363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2026-05-2020%20Evening.pdf,NA,NA,1.28%,3.56,3558,78,28672000
27/05/2020,Haryana,104747,Samples Sent,1381,99555,3811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2027.05.2020%20Evening.pdf,NA,NA,1.32%,3.65,3653,76,28672000
28/05/2020,Haryana,108031,Samples Sent,1504,102260,4267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2028-05-2020%20Evening.pdf,NA,NA,1.39%,3.77,3768,72,28672000
29/05/2020,Haryana,110940,Samples Sent,1721,105169,4050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%20as%20on%2029-05-20%20Evening.pdf,NA,NA,1.55%,3.87,3869,64,28672000
30/05/2020,Haryana,114683,Samples Sent,1923,108385,4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20of%20COVID%2019%20as%20on%2030-05-20%20Evening.pdf,NA,NA,NA,NA,NA,NA,NA
31/05/2020,Haryana,118138,Samples Sent,2091,11709,4338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2031-05-2020%20Evening.pdf,NA,NA,NA,NA,NA,NA,NA
01/06/2020,Haryana,121779,Samples Sent,2356,114792,4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulleitin%2001-06-2020%20Evening.pdf,NA,NA,NA,NA,NA,NA,NA
02/06/2020,Haryana,124564,Samples Sent,2652,117340,4572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulleitin%20of%20COVID%20as%20on%2002-06-2020%20Evening.pdf,NA,NA,NA,NA,NA,NA,NA
03/06/2020,Haryana,127895,Samples Sent,2954,120393,4548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%203-06-2020%20Evening.pdf,NA,NA,NA,NA,NA,NA,NA
04/06/2020,Haryana,132575,Samples Sent,3281,124769,4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%20as%20on%2004-06-20%20Evening.pdf,NA,NA,NA,NA,NA,NA,NA
10/04/2020,Himachal Pradesh,900,Tested,30,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/nhm_hp/status/1248648731374714880,NA,NA,3.33%,0.12,123,30,7300000
11/04/2020,Himachal Pradesh,900,Tested,30,870,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nrhmhp.gov.in/,NA,NA,3.33%,0.12,123,30,7300000
12/04/2020,Himachal Pradesh,1113,Tested,32,944,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/nhm_hp/status/1249299563308974085?s=09,NA,NA,2.88%,0.15,152,35,7300000
13/04/2020,Himachal Pradesh,1210,Tested,32,1109,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ANI/status/1249664611621703680?s=09,NA,NA,2.64%,0.17,166,38,7300000
14/04/2020,Himachal Pradesh,1311,Tested,32,1232,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/nhm_hp/status/1250095208496132096/photo/1,NA,NA,2.44%,0.18,180,41,7300000
