Country	Recovered	Confirmed	Deaths	Date
Australia	11	22	0	2020-02-22
Belgium	1	1	0	2020-02-22
Cambodia	1	1	0	2020-02-22
Canada	3	9	0	2020-02-22
Egypt	0	1	0	2020-02-22
Finland	1	1	0	2020-02-22
France	4	12	1	2020-02-22
Germany	14	16	0	2020-02-22
Hong Kong	6	69	2	2020-02-22
India	3	3	0	2020-02-22
Iran	0	28	5	2020-02-22
Israel	0	1	0	2020-02-22
Italy	1	62	2	2020-02-22
Japan	22	122	1	2020-02-22
Lebanon	0	1	0	2020-02-22
Macau	6	10	0	2020-02-22
Mainland China	22687	76922	2441	2020-02-22
Malaysia	15	22	0	2020-02-22
Nepal	1	1	0	2020-02-22
Others	1	634	2	2020-02-22
Philippines	1	3	1	2020-02-22
Russia	2	2	0	2020-02-22
Singapore	37	85	0	2020-02-22
South Korea	16	433	2	2020-02-22
Spain	2	2	0	2020-02-22
Sri Lanka	1	1	0	2020-02-22
Sweden	0	1	0	2020-02-22
Taiwan	2	26	1	2020-02-22
Thailand	17	35	0	2020-02-22
UK	8	9	0	2020-02-22
United Arab Emirates	4	13	0	2020-02-22
US	5	35	0	2020-02-22
Vietnam	14	16	0	2020-02-22
Australia	11	22	0	2020-02-23
Belgium	1	1	0	2020-02-23
Cambodia	1	1	0	2020-02-23
Canada	3	9	0	2020-02-23
Egypt	0	1	0	2020-02-23
Finland	1	1	0	2020-02-23
France	4	12	1	2020-02-23
Germany	14	16	0	2020-02-23
Hong Kong	11	74	2	2020-02-23
India	3	3	0	2020-02-23
Iran	0	43	8	2020-02-23
Iraq	0	0	0	2020-02-23
Israel	0	1	0	2020-02-23
Italy	2	155	3	2020-02-23
Japan	22	147	1	2020-02-23
Lebanon	0	1	0	2020-02-23
Macau	6	10	0	2020-02-23
Mainland China	23170	76938	2443	2020-02-23
Malaysia	15	22	0	2020-02-23
Nepal	1	1	0	2020-02-23
Others	0	691	3	2020-02-23
Philippines	1	3	1	2020-02-23
Russia	2	2	0	2020-02-23
Singapore	51	89	0	2020-02-23
South Korea	18	602	6	2020-02-23
Spain	2	2	0	2020-02-23
Sri Lanka	1	1	0	2020-02-23
Sweden	0	1	0	2020-02-23
Taiwan	2	28	1	2020-02-23
Thailand	21	35	0	2020-02-23
UK	8	9	0	2020-02-23
United Arab Emirates	4	13	0	2020-02-23
US	5	35	0	2020-02-23
Vietnam	14	16	0	2020-02-23
Afghanistan	0	1	0	2020-02-24
Australia	11	22	0	2020-02-24
Bahrain	0	1	0	2020-02-24
Belgium	1	1	0	2020-02-24
Cambodia	1	1	0	2020-02-24
Canada	3	10	0	2020-02-24
Egypt	0	1	0	2020-02-24
Finland	1	1	0	2020-02-24
France	4	12	1	2020-02-24
Germany	14	16	0	2020-02-24
Hong Kong	19	79	2	2020-02-24
India	3	3	0	2020-02-24
Iran	0	61	12	2020-02-24
Iraq	0	1	0	2020-02-24
Israel	0	1	0	2020-02-24
Italy	1	229	7	2020-02-24
Japan	22	159	1	2020-02-24
Kuwait	0	1	0	2020-02-24
Lebanon	0	1	0	2020-02-24
Macau	6	10	0	2020-02-24
Mainland China	24990	77152	2593	2020-02-24
Malaysia	18	22	0	2020-02-24
Nepal	1	1	0	2020-02-24
Oman	0	2	0	2020-02-24
Others	0	691	3	2020-02-24
Philippines	1	3	1	2020-02-24
Russia	2	2	0	2020-02-24
Singapore	51	89	0	2020-02-24
South Korea	18	833	8	2020-02-24
Spain	2	2	0	2020-02-24
Sri Lanka	1	1	0	2020-02-24
Sweden	0	1	0	2020-02-24
Taiwan	5	30	1	2020-02-24
Thailand	21	35	0	2020-02-24
UK	8	13	0	2020-02-24
United Arab Emirates	4	13	0	2020-02-24
US	5	53	0	2020-02-24
Vietnam	14	16	0	2020-02-24
Afghanistan	0	1	0	2020-02-25
Algeria	0	1	0	2020-02-25
Australia	11	22	0	2020-02-25
Austria	0	2	0	2020-02-25
Bahrain	0	23	0	2020-02-25
Belgium	1	1	0	2020-02-25
Cambodia	1	1	0	2020-02-25
Canada	3	11	0	2020-02-25
Croatia	0	1	0	2020-02-25
Egypt	0	1	0	2020-02-25
Finland	1	1	0	2020-02-25
France	11	14	1	2020-02-25
Germany	14	17	0	2020-02-25
Hong Kong	19	84	2	2020-02-25
India	3	3	0	2020-02-25
Iran	0	95	16	2020-02-25
Iraq	0	1	0	2020-02-25
Israel	0	1	0	2020-02-25
Italy	1	322	10	2020-02-25
Japan	22	170	1	2020-02-25
Kuwait	0	11	0	2020-02-25
Lebanon	0	1	0	2020-02-25
Macau	7	10	0	2020-02-25
Mainland China	27650	77660	2663	2020-02-25
Malaysia	18	22	0	2020-02-25
Nepal	1	1	0	2020-02-25
Oman	0	2	0	2020-02-25
Others	0	691	3	2020-02-25
Philippines	1	3	1	2020-02-25
Russia	2	2	0	2020-02-25
Singapore	53	91	0	2020-02-25
South Korea	22	977	10	2020-02-25
Spain	2	6	0	2020-02-25
Sri Lanka	1	1	0	2020-02-25
Sweden	0	1	0	2020-02-25
Switzerland	0	1	0	2020-02-25
Taiwan	5	31	1	2020-02-25
Thailand	22	37	0	2020-02-25
UK	8	13	0	2020-02-25
United Arab Emirates	4	13	0	2020-02-25
US	6	53	0	2020-02-25
Vietnam	16	16	0	2020-02-25
Afghanistan	0	1	0	2020-02-26
Algeria	0	1	0	2020-02-26
Australia	11	22	0	2020-02-26
Austria	0	2	0	2020-02-26
Bahrain	0	33	0	2020-02-26
Belgium	1	1	0	2020-02-26
Brazil	0	1	0	2020-02-26
Cambodia	1	1	0	2020-02-26
Canada	3	11	0	2020-02-26
Croatia	0	3	0	2020-02-26
Egypt	0	1	0	2020-02-26
Finland	1	2	0	2020-02-26
France	11	18	2	2020-02-26
Georgia	0	1	0	2020-02-26
Germany	15	27	0	2020-02-26
Greece	0	1	0	2020-02-26
Hong Kong	24	91	2	2020-02-26
India	3	3	0	2020-02-26
Iran	49	139	19	2020-02-26
Iraq	0	5	0	2020-02-26
Israel	0	2	0	2020-02-26
Italy	3	453	12	2020-02-26
Japan	22	189	2	2020-02-26
Kuwait	0	26	0	2020-02-26
Lebanon	0	2	0	2020-02-26
Macau	7	10	0	2020-02-26
Mainland China	30053	78065	2715	2020-02-26
Malaysia	18	22	0	2020-02-26
Nepal	1	1	0	2020-02-26
North Macedonia	0	1	0	2020-02-26
Norway	0	1	0	2020-02-26
Oman	0	4	0	2020-02-26
Others	10	705	4	2020-02-26
Pakistan	0	2	0	2020-02-26
Philippines	1	3	1	2020-02-26
Romania	0	1	0	2020-02-26
Russia	2	2	0	2020-02-26
Singapore	62	93	0	2020-02-26
South Korea	22	1261	12	2020-02-26
Spain	2	13	0	2020-02-26
Sri Lanka	1	1	0	2020-02-26
Sweden	0	2	0	2020-02-26
Switzerland	0	1	0	2020-02-26
Taiwan	5	32	1	2020-02-26
Thailand	22	40	0	2020-02-26
UK	8	13	0	2020-02-26
United Arab Emirates	4	13	0	2020-02-26
US	6	59	0	2020-02-26
Vietnam	16	16	0	2020-02-26
Afghanistan	0	1	0	2020-02-27
Algeria	0	1	0	2020-02-27
Australia	11	23	0	2020-02-27
Austria	0	3	0	2020-02-27
Bahrain	0	33	0	2020-02-27
Belgium	1	1	0	2020-02-27
Brazil	0	1	0	2020-02-27
Cambodia	1	1	0	2020-02-27
Canada	6	13	0	2020-02-27
Croatia	0	3	0	2020-02-27
Denmark	0	1	0	2020-02-27
Egypt	0	1	0	2020-02-27
Estonia	0	1	0	2020-02-27
Finland	1	2	0	2020-02-27
France	11	38	2	2020-02-27
Georgia	0	1	0	2020-02-27
Germany	16	46	0	2020-02-27
Greece	0	3	0	2020-02-27
Hong Kong	24	92	2	2020-02-27
India	3	3	0	2020-02-27
Iran	49	245	26	2020-02-27
Iraq	0	7	0	2020-02-27
Israel	1	3	0	2020-02-27
Italy	45	655	17	2020-02-27
Japan	22	214	4	2020-02-27
Kuwait	0	43	0	2020-02-27
Lebanon	0	2	0	2020-02-27
Macau	8	10	0	2020-02-27
Mainland China	32898	78498	2744	2020-02-27
Malaysia	18	23	0	2020-02-27
Nepal	1	1	0	2020-02-27
Netherlands	0	1	0	2020-02-27
North Macedonia	0	1	0	2020-02-27
Norway	0	1	0	2020-02-27
Oman	0	4	0	2020-02-27
Others	10	705	4	2020-02-27
Pakistan	0	2	0	2020-02-27
Philippines	1	3	1	2020-02-27
Romania	0	1	0	2020-02-27
Russia	2	2	0	2020-02-27
San Marino	0	1	0	2020-02-27
Singapore	62	93	0	2020-02-27
South Korea	22	1766	13	2020-02-27
Spain	2	15	0	2020-02-27
Sri Lanka	1	1	0	2020-02-27
Sweden	0	7	0	2020-02-27
Switzerland	0	8	0	2020-02-27
Taiwan	5	32	1	2020-02-27
Thailand	22	40	0	2020-02-27
UK	8	15	0	2020-02-27
United Arab Emirates	4	13	0	2020-02-27
US	6	60	0	2020-02-27
Vietnam	16	16	0	2020-02-27
Afghanistan	0	1	0	2020-02-28
Algeria	0	1	0	2020-02-28
Australia	11	23	0	2020-02-28
Austria	0	3	0	2020-02-28
Azerbaijan	0	1	0	2020-02-28
Bahrain	0	36	0	2020-02-28
Belarus	0	1	0	2020-02-28
Belgium	1	1	0	2020-02-28
Brazil	0	1	0	2020-02-28
Cambodia	1	1	0	2020-02-28
Canada	6	14	0	2020-02-28
Croatia	0	5	0	2020-02-28
Denmark	0	1	0	2020-02-28
Egypt	1	1	0	2020-02-28
Estonia	0	1	0	2020-02-28
Finland	1	2	0	2020-02-28
France	11	57	2	2020-02-28
Georgia	0	1	0	2020-02-28
Germany	16	48	0	2020-02-28
Greece	0	4	0	2020-02-28
Hong Kong	30	94	2	2020-02-28
Iceland	0	1	0	2020-02-28
India	3	3	0	2020-02-28
Iran	73	388	34	2020-02-28
Iraq	0	7	0	2020-02-28
Israel	1	4	0	2020-02-28
Italy	46	888	21	2020-02-28
Japan	22	228	4	2020-02-28
Kuwait	0	45	0	2020-02-28
Lebanon	0	2	0	2020-02-28
Lithuania	0	1	0	2020-02-28
Macau	8	10	0	2020-02-28
Mainland China	36291	78824	2788	2020-02-28
Malaysia	18	23	0	2020-02-28
Mexico	0	1	0	2020-02-28
Nepal	1	1	0	2020-02-28
Netherlands	0	1	0	2020-02-28
New Zealand	0	1	0	2020-02-28
Nigeria	0	1	0	2020-02-28
North Ireland	0	1	0	2020-02-28
North Macedonia	0	1	0	2020-02-28
Norway	0	6	0	2020-02-28
Oman	0	4	0	2020-02-28
Others	10	705	6	2020-02-28
Pakistan	0	2	0	2020-02-28
Philippines	1	3	1	2020-02-28
Romania	0	3	0	2020-02-28
Russia	2	2	0	2020-02-28
San Marino	0	1	0	2020-02-28
Singapore	62	93	0	2020-02-28
South Korea	22	2337	13	2020-02-28
Spain	2	32	0	2020-02-28
Sri Lanka	1	1	0	2020-02-28
Sweden	0	7	0	2020-02-28
Switzerland	0	8	0	2020-02-28
Taiwan	6	34	1	2020-02-28
Thailand	28	41	0	2020-02-28
UK	8	20	0	2020-02-28
United Arab Emirates	5	19	0	2020-02-28
US	7	62	0	2020-02-28
Vietnam	16	16	0	2020-02-28
Afghanistan	0	1	0	2020-02-29
Algeria	0	1	0	2020-02-29
Australia	11	25	0	2020-02-29
Austria	0	9	0	2020-02-29
Bahrain	0	41	0	2020-02-29
Belarus	0	1	0	2020-02-29
Belgium	1	1	0	2020-02-29
Brazil	0	2	0	2020-02-29
Cambodia	1	1	0	2020-02-29
Canada	6	20	0	2020-02-29
Croatia	0	6	0	2020-02-29
Denmark	0	3	0	2020-02-29
Egypt	1	1	0	2020-02-29
Estonia	0	1	0	2020-02-29
Finland	1	3	0	2020-02-29
France	12	100	2	2020-02-29
Georgia	0	1	0	2020-02-29
Germany	16	79	0	2020-02-29
Greece	0	4	0	2020-02-29
Hong Kong	33	95	2	2020-02-29
Iceland	0	1	0	2020-02-29
India	3	3	0	2020-02-29
Iran	123	593	43	2020-02-29
Iraq	0	13	0	2020-02-29
Ireland	0	1	0	2020-02-29
Israel	1	7	0	2020-02-29
Italy	46	1128	29	2020-02-29
Japan	32	241	5	2020-02-29
Kuwait	0	45	0	2020-02-29
Lebanon	0	4	0	2020-02-29
Lithuania	0	1	0	2020-02-29
Luxembourg	0	1	0	2020-02-29
Macau	8	10	0	2020-02-29
Mainland China	39279	79251	2835	2020-02-29
Malaysia	18	25	0	2020-02-29
Mexico	0	4	0	2020-02-29
Monaco	0	1	0	2020-02-29
Nepal	1	1	0	2020-02-29
Netherlands	0	6	0	2020-02-29
New Zealand	0	1	0	2020-02-29
Nigeria	0	1	0	2020-02-29
North Macedonia	0	1	0	2020-02-29
Norway	0	15	0	2020-02-29
Oman	1	6	0	2020-02-29
Others	10	705	6	2020-02-29
Pakistan	0	4	0	2020-02-29
Philippines	1	3	1	2020-02-29
Qatar	0	1	0	2020-02-29
Romania	0	3	0	2020-02-29
Russia	2	2	0	2020-02-29
San Marino	0	1	0	2020-02-29
Singapore	72	102	0	2020-02-29
South Korea	27	3150	16	2020-02-29
Spain	2	45	0	2020-02-29
Sri Lanka	1	1	0	2020-02-29
Sweden	0	12	0	2020-02-29
Switzerland	0	18	0	2020-02-29
Taiwan	9	39	1	2020-02-29
Thailand	28	42	0	2020-02-29
UK	8	23	0	2020-02-29
United Arab Emirates	5	21	0	2020-02-29
US	7	70	1	2020-02-29
Vietnam	16	16	0	2020-02-29
Afghanistan	0	1	0	2020-03-01
Algeria	0	1	0	2020-03-01
Armenia	0	1	0	2020-03-01
Australia	11	27	1	2020-03-01
Austria	0	14	0	2020-03-01
Azerbaijan	0	3	0	2020-03-01
Bahrain	0	47	0	2020-03-01
Belarus	0	1	0	2020-03-01
Belgium	1	2	0	2020-03-01
Brazil	0	2	0	2020-03-01
Cambodia	1	1	0	2020-03-01
Canada	6	24	0	2020-03-01
Croatia	0	7	0	2020-03-01
Czech Republic	0	3	0	2020-03-01
Denmark	0	4	0	2020-03-01
Dominican Republic	0	1	0	2020-03-01
Ecuador	0	6	0	2020-03-01
Egypt	1	2	0	2020-03-01
Estonia	0	1	0	2020-03-01
Finland	1	6	0	2020-03-01
France	12	130	2	2020-03-01
Georgia	0	3	0	2020-03-01
Germany	16	130	0	2020-03-01
Greece	0	7	0	2020-03-01
Hong Kong	36	96	2	2020-03-01
Iceland	0	3	0	2020-03-01
India	3	3	0	2020-03-01
Iran	175	978	54	2020-03-01
Iraq	0	19	0	2020-03-01
Ireland	0	1	0	2020-03-01
Israel	1	10	0	2020-03-01
Italy	83	1694	34	2020-03-01
Japan	32	256	6	2020-03-01
Kuwait	0	45	0	2020-03-01
Lebanon	0	10	0	2020-03-01
Lithuania	0	1	0	2020-03-01
Luxembourg	0	1	0	2020-03-01
Macau	8	10	0	2020-03-01
Mainland China	42118	79826	2870	2020-03-01
Malaysia	18	29	0	2020-03-01
Mexico	0	5	0	2020-03-01
Monaco	0	1	0	2020-03-01
Nepal	1	1	0	2020-03-01
Netherlands	0	10	0	2020-03-01
New Zealand	0	1	0	2020-03-01
Nigeria	0	1	0	2020-03-01
North Macedonia	0	1	0	2020-03-01
Norway	0	19	0	2020-03-01
Oman	1	6	0	2020-03-01
Others	10	705	6	2020-03-01
Pakistan	0	4	0	2020-03-01
Philippines	1	3	1	2020-03-01
Qatar	0	3	0	2020-03-01
Romania	0	3	0	2020-03-01
Russia	2	2	0	2020-03-01
San Marino	0	1	0	2020-03-01
Singapore	72	106	0	2020-03-01
South Korea	30	3736	17	2020-03-01
Spain	2	84	0	2020-03-01
Sri Lanka	1	1	0	2020-03-01
Sweden	0	14	0	2020-03-01
Switzerland	0	27	0	2020-03-01
Taiwan	9	40	1	2020-03-01
Thailand	28	42	1	2020-03-01
UK	8	36	0	2020-03-01
United Arab Emirates	5	21	0	2020-03-01
US	7	76	1	2020-03-01
Vietnam	16	16	0	2020-03-01
Afghanistan	0	1	0	2020-03-02
Algeria	0	3	0	2020-03-02
Andorra	0	1	0	2020-03-02
Armenia	0	1	0	2020-03-02
Australia	11	30	1	2020-03-02
Austria	0	18	0	2020-03-02
Azerbaijan	0	3	0	2020-03-02
Bahrain	0	49	0	2020-03-02
Belarus	0	1	0	2020-03-02
Belgium	1	8	0	2020-03-02
Brazil	0	2	0	2020-03-02
Cambodia	1	1	0	2020-03-02
Canada	6	27	0	2020-03-02
Croatia	0	7	0	2020-03-02
Czech Republic	0	3	0	2020-03-02
Denmark	0	4	0	2020-03-02
Dominican Republic	0	1	0	2020-03-02
Ecuador	0	6	0	2020-03-02
Egypt	1	2	0	2020-03-02
Estonia	0	1	0	2020-03-02
Finland	1	6	0	2020-03-02
France	12	191	3	2020-03-02
Georgia	0	3	0	2020-03-02
Germany	16	159	0	2020-03-02
Greece	0	7	0	2020-03-02
Hong Kong	36	100	2	2020-03-02
Iceland	0	6	0	2020-03-02
India	3	5	0	2020-03-02
Indonesia	0	2	0	2020-03-02
Iran	291	1501	66	2020-03-02
Iraq	0	26	0	2020-03-02
Ireland	0	1	0	2020-03-02
Israel	1	10	0	2020-03-02
Italy	149	2036	52	2020-03-02
Japan	32	274	6	2020-03-02
Kuwait	0	56	0	2020-03-02
Latvia	0	1	0	2020-03-02
Lebanon	0	13	0	2020-03-02
Lithuania	0	1	0	2020-03-02
Luxembourg	0	1	0	2020-03-02
Macau	8	10	0	2020-03-02
Mainland China	44810	80026	2912	2020-03-02
Malaysia	18	29	0	2020-03-02
Mexico	0	5	0	2020-03-02
Monaco	0	1	0	2020-03-02
Morocco	0	1	0	2020-03-02
Nepal	1	1	0	2020-03-02
Netherlands	0	18	0	2020-03-02
New Zealand	0	1	0	2020-03-02
Nigeria	0	1	0	2020-03-02
North Macedonia	0	1	0	2020-03-02
Norway	0	25	0	2020-03-02
Oman	1	6	0	2020-03-02
Others	10	705	6	2020-03-02
Pakistan	0	4	0	2020-03-02
Philippines	1	3	1	2020-03-02
Portugal	0	2	0	2020-03-02
Qatar	0	3	0	2020-03-02
Romania	0	3	0	2020-03-02
Russia	2	3	0	2020-03-02
San Marino	0	8	0	2020-03-02
Saudi Arabia	0	1	0	2020-03-02
Senegal	0	1	0	2020-03-02
Singapore	78	108	0	2020-03-02
South Korea	30	4335	28	2020-03-02
Spain	2	120	0	2020-03-02
Sri Lanka	1	1	0	2020-03-02
Sweden	0	15	0	2020-03-02
Switzerland	0	42	0	2020-03-02
Taiwan	12	41	1	2020-03-02
Thailand	31	43	1	2020-03-02
UK	8	40	0	2020-03-02
United Arab Emirates	5	21	0	2020-03-02
US	7	101	6	2020-03-02
Vietnam	16	16	0	2020-03-02
Afghanistan	0	1	0	2020-03-03
Algeria	0	5	0	2020-03-03
Andorra	0	1	0	2020-03-03
Argentina	0	1	0	2020-03-03
Armenia	0	1	0	2020-03-03
Australia	11	39	1	2020-03-03
Austria	0	21	0	2020-03-03
Azerbaijan	0	3	0	2020-03-03
Bahrain	0	49	0	2020-03-03
Belarus	0	1	0	2020-03-03
Belgium	1	13	0	2020-03-03
Brazil	0	2	0	2020-03-03
Cambodia	1	1	0	2020-03-03
Canada	6	30	0	2020-03-03
Chile	0	1	0	2020-03-03
Croatia	0	9	0	2020-03-03
Czech Republic	0	5	0	2020-03-03
Denmark	0	6	0	2020-03-03
Dominican Republic	0	1	0	2020-03-03
Ecuador	0	7	0	2020-03-03
Egypt	1	2	0	2020-03-03
Estonia	0	2	0	2020-03-03
Finland	1	6	0	2020-03-03
France	12	204	4	2020-03-03
Georgia	0	3	0	2020-03-03
Germany	16	196	0	2020-03-03
Greece	0	7	0	2020-03-03
Hong Kong	37	100	2	2020-03-03
Iceland	0	11	0	2020-03-03
India	3	5	0	2020-03-03
Indonesia	0	2	0	2020-03-03
Iran	291	2336	77	2020-03-03
Iraq	0	32	0	2020-03-03
Ireland	0	2	0	2020-03-03
Israel	1	12	0	2020-03-03
Italy	160	2502	79	2020-03-03
Japan	43	293	6	2020-03-03
Jordan	0	1	0	2020-03-03
Kuwait	0	56	0	2020-03-03
Latvia	0	1	0	2020-03-03
Lebanon	0	13	0	2020-03-03
Lithuania	0	1	0	2020-03-03
Luxembourg	0	1	0	2020-03-03
Macau	9	10	0	2020-03-03
Mainland China	47404	80151	2945	2020-03-03
Malaysia	22	36	0	2020-03-03
Mexico	1	5	0	2020-03-03
Monaco	0	1	0	2020-03-03
Morocco	0	1	0	2020-03-03
Nepal	1	1	0	2020-03-03
Netherlands	0	24	0	2020-03-03
New Zealand	0	1	0	2020-03-03
Nigeria	0	1	0	2020-03-03
North Macedonia	0	1	0	2020-03-03
Norway	0	32	0	2020-03-03
Oman	2	12	0	2020-03-03
Others	10	706	6	2020-03-03
Pakistan	0	5	0	2020-03-03
Philippines	1	3	1	2020-03-03
Portugal	0	2	0	2020-03-03
Qatar	0	7	0	2020-03-03
Romania	0	3	0	2020-03-03
Russia	2	3	0	2020-03-03
San Marino	0	10	1	2020-03-03
Saudi Arabia	0	1	0	2020-03-03
Senegal	0	2	0	2020-03-03
Singapore	78	110	0	2020-03-03
South Korea	30	5186	28	2020-03-03
Spain	2	165	1	2020-03-03
Sri Lanka	1	1	0	2020-03-03
Sweden	0	21	0	2020-03-03
Switzerland	2	56	0	2020-03-03
Taiwan	12	42	1	2020-03-03
Thailand	31	43	1	2020-03-03
UK	8	51	0	2020-03-03
Ukraine	0	1	0	2020-03-03
United Arab Emirates	5	27	0	2020-03-03
US	8	122	7	2020-03-03
Vietnam	16	16	0	2020-03-03
Afghanistan	0	1	0	2020-03-04
Algeria	0	12	0	2020-03-04
Andorra	0	1	0	2020-03-04
Argentina	0	1	0	2020-03-04
Armenia	0	1	0	2020-03-04
Australia	11	52	2	2020-03-04
Austria	0	29	0	2020-03-04
Azerbaijan	0	3	0	2020-03-04
Bahrain	0	52	0	2020-03-04
Belarus	0	6	0	2020-03-04
Belgium	1	23	0	2020-03-04
Brazil	0	4	0	2020-03-04
Cambodia	1	1	0	2020-03-04
Canada	6	33	0	2020-03-04
Chile	0	1	0	2020-03-04
Croatia	0	10	0	2020-03-04
Czech Republic	0	8	0	2020-03-04
Denmark	0	10	0	2020-03-04
Dominican Republic	0	1	0	2020-03-04
Ecuador	0	10	0	2020-03-04
Egypt	1	2	0	2020-03-04
Estonia	0	2	0	2020-03-04
Faroe Islands	0	1	0	2020-03-04
Finland	1	6	0	2020-03-04
France	12	285	4	2020-03-04
Georgia	0	3	0	2020-03-04
Germany	16	262	0	2020-03-04
Gibraltar	0	1	0	2020-03-04
Greece	0	9	0	2020-03-04
Hong Kong	37	105	2	2020-03-04
Hungary	0	2	0	2020-03-04
Iceland	0	26	0	2020-03-04
India	3	28	0	2020-03-04
Indonesia	0	2	0	2020-03-04
Iran	552	2922	92	2020-03-04
Iraq	0	35	2	2020-03-04
Ireland	0	6	0	2020-03-04
Israel	1	15	0	2020-03-04
Italy	276	3089	107	2020-03-04
Japan	43	331	6	2020-03-04
Jordan	0	1	0	2020-03-04
Kuwait	0	56	0	2020-03-04
Latvia	0	1	0	2020-03-04
Lebanon	1	13	0	2020-03-04
Liechtenstein	0	1	0	2020-03-04
Lithuania	0	1	0	2020-03-04
Luxembourg	0	1	0	2020-03-04
Macau	9	10	0	2020-03-04
Mainland China	49955	80271	2981	2020-03-04
Malaysia	22	50	0	2020-03-04
Mexico	1	5	0	2020-03-04
Monaco	0	1	0	2020-03-04
Morocco	0	1	0	2020-03-04
Nepal	1	1	0	2020-03-04
Netherlands	0	38	0	2020-03-04
New Zealand	0	3	0	2020-03-04
Nigeria	0	1	0	2020-03-04
North Macedonia	0	1	0	2020-03-04
Norway	0	56	0	2020-03-04
Oman	2	15	0	2020-03-04
Others	10	706	6	2020-03-04
Pakistan	0	5	0	2020-03-04
Philippines	1	3	1	2020-03-04
Poland	0	1	0	2020-03-04
Portugal	0	5	0	2020-03-04
Qatar	0	8	0	2020-03-04
Romania	1	4	0	2020-03-04
Russia	2	3	0	2020-03-04
Saint Barthelemy	0	3	0	2020-03-04
San Marino	0	16	1	2020-03-04
Saudi Arabia	0	1	0	2020-03-04
Senegal	0	4	0	2020-03-04
Singapore	78	110	0	2020-03-04
South Korea	41	5621	35	2020-03-04
Spain	2	222	2	2020-03-04
Sri Lanka	1	1	0	2020-03-04
Sweden	0	35	0	2020-03-04
Switzerland	3	90	0	2020-03-04
Taiwan	12	42	1	2020-03-04
Thailand	31	43	1	2020-03-04
Tunisia	0	1	0	2020-03-04
UK	8	85	0	2020-03-04
Ukraine	0	1	0	2020-03-04
United Arab Emirates	5	27	0	2020-03-04
US	8	153	11	2020-03-04
Vietnam	16	16	0	2020-03-04
Afghanistan	0	1	0	2020-03-05
Algeria	0	12	0	2020-03-05
Andorra	0	1	0	2020-03-05
Argentina	0	1	0	2020-03-05
Armenia	0	1	0	2020-03-05
Australia	21	55	2	2020-03-05
Austria	0	41	0	2020-03-05
Azerbaijan	0	6	0	2020-03-05
Bahrain	0	55	0	2020-03-05
Belarus	0	6	0	2020-03-05
Belgium	1	50	0	2020-03-05
Bosnia and Herzegovina	0	2	0	2020-03-05
Brazil	0	4	0	2020-03-05
Cambodia	1	1	0	2020-03-05
Canada	6	37	0	2020-03-05
Chile	0	4	0	2020-03-05
Croatia	0	10	0	2020-03-05
Czech Republic	0	12	0	2020-03-05
Denmark	0	10	0	2020-03-05
Dominican Republic	0	1	0	2020-03-05
Ecuador	0	13	0	2020-03-05
Egypt	1	3	0	2020-03-05
Estonia	0	3	0	2020-03-05
Faroe Islands	0	1	0	2020-03-05
Finland	1	12	0	2020-03-05
France	12	377	6	2020-03-05
Georgia	0	4	0	2020-03-05
Germany	16	482	0	2020-03-05
Gibraltar	0	1	0	2020-03-05
Greece	0	31	0	2020-03-05
Hong Kong	43	105	2	2020-03-05
Hungary	0	2	0	2020-03-05
Iceland	0	34	0	2020-03-05
India	3	30	0	2020-03-05
Indonesia	0	2	0	2020-03-05
Iran	739	3513	107	2020-03-05
Iraq	0	35	2	2020-03-05
Ireland	0	6	0	2020-03-05
Israel	1	16	0	2020-03-05
Italy	414	3858	148	2020-03-05
Japan	43	360	6	2020-03-05
Jordan	0	1	0	2020-03-05
Kuwait	0	58	0	2020-03-05
Latvia	0	1	0	2020-03-05
Lebanon	1	16	0	2020-03-05
Liechtenstein	0	1	0	2020-03-05
Lithuania	0	1	0	2020-03-05
Luxembourg	0	1	0	2020-03-05
Macau	9	10	0	2020-03-05
Mainland China	52240	80422	3013	2020-03-05
Malaysia	22	50	0	2020-03-05
Mexico	1	5	0	2020-03-05
Monaco	0	1	0	2020-03-05
Morocco	0	2	0	2020-03-05
Nepal	1	1	0	2020-03-05
Netherlands	0	82	0	2020-03-05
New Zealand	0	3	0	2020-03-05
Nigeria	0	1	0	2020-03-05
North Macedonia	0	1	0	2020-03-05
Norway	0	87	0	2020-03-05
Oman	2	16	0	2020-03-05
Others	10	706	6	2020-03-05
Pakistan	0	5	0	2020-03-05
Palestine	0	4	0	2020-03-05
Philippines	1	3	1	2020-03-05
Poland	0	1	0	2020-03-05
Portugal	0	8	0	2020-03-05
Qatar	0	8	0	2020-03-05
Romania	1	6	0	2020-03-05
Russia	2	4	0	2020-03-05
Saint Barthelemy	0	3	0	2020-03-05
San Marino	0	21	1	2020-03-05
Saudi Arabia	0	5	0	2020-03-05
Senegal	0	4	0	2020-03-05
Singapore	78	117	0	2020-03-05
Slovenia	0	2	0	2020-03-05
South Africa	0	1	0	2020-03-05
South Korea	41	6088	35	2020-03-05
Spain	2	259	3	2020-03-05
Sri Lanka	1	1	0	2020-03-05
Sweden	0	94	0	2020-03-05
Switzerland	3	114	1	2020-03-05
Taiwan	12	44	1	2020-03-05
Thailand	31	47	1	2020-03-05
Tunisia	0	1	0	2020-03-05
UK	8	115	1	2020-03-05
Ukraine	0	1	0	2020-03-05
United Arab Emirates	5	29	0	2020-03-05
US	8	221	12	2020-03-05
