Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Total People In Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquire Calls,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: covid19india),,,
10/04/2020,Chhattisgarh,3473,Tested,18,3322,133,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_10042020.pdf,,0.52%,0.12,121,,,,
11/04/2020,Chhattisgarh,3858,Tested,18,3503,337,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/RevisedMediaBulletinHINDI_11042020.pdf,,0.47%,0.13,134,,,,
12/04/2020,Chhattisgarh,3945,Tested,31,3856,58,,,,,,,,,http://cghealth.nic.in/cghealth17/,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_12042020.pdf,0.79%,0.14,137,,,,
13/04/2020,Chhattisgarh,4377,Tested,31,3969,377,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_13042020.pdf,,0.71%,0.15,152,,,,
14/04/2020,Chhattisgarh,4812,Tested,33,4319,469,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_14042020.pdf,,0.69%,0.17,168,,,,
15/04/2020,Chhattisgarh,5122,Tested,33,4878,211,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_15042020.pdf,,0.64%,0.18,178,,,,
16/04/2020,Chhattisgarh,5519,Tested,33,5168,318,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_16042020.pdf,,0.60%,0.19,192,,,,
17/04/2020,Chhattisgarh,5776,Tested,36,5484,256,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_18042020.pdf,,0.62%,0.20,201,,,,
18/04/2020,Chhattisgarh,5776,Tested,36,5484,256,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/mediaBulletinHindi_18042020.pdf,,0.62%,0.20,201,,,,
19/04/2020,Chhattisgarh,6675,Tested,36,6086,553,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/mediaBulletinHindi_19042020.pdf,,0.54%,0.23,232,,,,
20/04/2020,Chhattisgarh,7601,Tested,36,7029,536,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_20042020.pdf,,0.47%,0.26,265,,,,
21/04/2020,Chhattisgarh,8272,Tested,36,7555,681,,,,,,,,,http://cghealth.nic.in/cghealth17/,,0.44%,0.29,288,,,,
22/04/2020,Chhattisgarh,9220,Tested,36,8296,888,,,,,,,,,http://cghealth.nic.in/cghealth17/,,0.39%,0.32,321,,,,
23/04/2020,Chhattisgarh,10346,Tested,36,9206,1104,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_23042020.pdf,,0.35%,0.36,360,,,,
24/04/2020,Chhattisgarh,11386,Tested,36,10213,1137,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletin_24042020.pdf,,0.32%,0.40,396,,,,
25/04/2020,Chhattisgarh,12596,Tested,37,11168,1391,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_25042020.pdf,,0.29%,0.44,439,,,,
26/04/2020,Chhattisgarh,13786,Tested,37,12406,1343,,,,,,,,,https://t.me/indiacovid/3300?single,,0.27%,0.48,480,,,,
27/04/2020,Chhattisgarh,14987,Tested,37,13882,1068,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_27042020.pdf,,0.25%,0.52,522,,,,
28/04/2020,Chhattisgarh,15737,Tested,38,14953,746,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletin_28042020.pdf,,0.24%,0.55,548,,,,
29/04/2020,Chhattisgarh,16546,Tested,38,15658,850,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_29042020.pdf,,0.23%,0.58,576,,,,
30/04/2020,Chhattisgarh,17541,Tested,40,16602,899,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_30042020.pdf,,0.23%,0.61,611,,,,
01/05/2020,Chhattisgarh,18039,Tested,43,17199,797,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_01052020.pdf,,0.24%,0.63,628,,,,
02/05/2020,Chhattisgarh,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
03/05/2020,Chhattisgarh,19902,Tested,57,18848,997,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_03052020.pdf,,0.29%,0.69,693,,,,
04/05/2020,Chhattisgarh,,,,,,,,,,,,,,,,,0.00,0,,,,
05/05/2020,Chhattisgarh,21323,Tested,58,20300,965,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_05052020.pdf,,0.27%,0.74,742,,,,
06/05/2020,Chhattisgarh,22188,Tested,59,20873,1256,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_06052020.pdf,https://twitter.com/ipskabra/status/1258033663633055745?s=19,0.27%,0.77,772,,,,
07/05/2020,Chhattisgarh,,,,,,,,,,,,,,,,,0.00,0,,,,
08/05/2020,Chhattisgarh,23629,Tested,59,22509,1061,,,,,,,,,https://t.me/indiacovid/4321,,0.25%,0.82,823,,,,
09/05/2020,Chhattisgarh,24506,Tested,59,23326,1121,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_09052020.pdf,,0.24%,0.85,853,,,,
10/05/2020,Chhattisgarh,25282,Tested,59,24186,1037,,,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_10052020.pdf,,0.23%,0.88,880,,,,
11/05/2020,Chhattisgarh,,,,,,,,,,,,,,,,,0.00,0,,,,
12/05/2020,Chhattisgarh,27339,Tested,59,25741,1539,623,Centre,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_12052020.pdf,,0.22%,0.95,952,,,,
13/05/2020,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,Dadra and Nagar Haveli and Daman and Diu,80,,0,80,,,,,,,,,,https://twitter.com/DnhPublicity/status/1247952828519178241,https://twitter.com/DnhPublicity/status/1248162771897692160,,,,,,,
10/04/2020,Dadra and Nagar Haveli and Daman and Diu,130,,0,130,,,,,,,,,,https://twitter.com/DnhPublicity/status/1248309707397156864,,,,,,,,
11/04/2020,Dadra and Nagar Haveli and Daman and Diu,211,,0,211,,,,,,,,,,https://twitter.com/DnhPublicity/status/1249023214333743104,,,,,,,,
12/04/2020,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,
10/05/2020,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,
11/05/2020,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,
12/05/2020,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,Delhi,2621,Tested,,,2621,,,,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/068e55804dc3527fb23cf7982ee7a5c7/HB01A.pdf?MOD=AJPERES&lmod=908572962&CACHEID=068e55804dc3527fb23cf7982ee7a5c7,,0.00%,0.13,132,19814000,,,
07/04/2020,Delhi,9041,Tested,576,7308,1157,3120,,,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/ed4d3d804dd60b488b60ff982ee7a5c7/HB07A.pdf?MOD=AJPERES&lmod=1435478287&CACHEID=ed4d3d804dd60b488b60ff982ee7a5c7,,6.37%,0.46,456,,,,
09/04/2020,Delhi,9968,Tested,720,8643,605,2664,,,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/doit_health/Health/Home/Covid19/Health+Bulletin,http://health.delhigovt.nic.in/wps/wcm/connect/22522a804ddd430195f5f7d194e333e1/HB09A.pdf,7.22%,0.50,503,,,,
10/04/2020,Delhi,11061,Tested,903,9662,496,,,,,,,,,https://twitter.com/CMODelhi/status/1248629695614046209?s=09,,8.16%,0.56,558,,,,
11/04/2020,Delhi,11709,Tested,1069,10218,464,,,,,,,,,https://twitter.com/CMODelhi/status/1248998630888845313?s=19,,9.13%,0.59,591,,,,
12/04/2020,Delhi,14036,Tested,1154,11748,984,,,,,,,,,https://twitter.com/CMODelhi/status/1249350539973812224,,8.22%,0.71,708,,,,
13/04/2020,Delhi,15032,Tested,1510,12283,1008,,,,,,,,,https://twitter.com/CMODelhi/status/1249744159491031047/photo/2,,10.05%,0.76,759,,,,
14/04/2020,Delhi,16282,Tested,1561,13748,715,,,,,,,,,https://twitter.com/CMODelhi/status/1250087698011803648/photo/2,,9.59%,0.82,822,,,,
15/04/2020,Delhi,16605,Tested,1578,13865,956,,,,,,,,,https://twitter.com/CMODelhi/status/1250468383868350469?s=19,,9.50%,0.84,838,,,,
16/04/2020,Delhi,18784,Tested,1640,14692,2251,,,,,,,,,https://twitter.com/CMODelhi/status/1250830372830470145?s=20,,8.73%,0.95,948,,,,
17/04/2020,Delhi,21409,Tested,1707,16899,2674,,,,,,,,,https://twitter.com/CMODelhi/status/1251190807106777089/photo/2,,7.97%,1.08,1080,,,,
18/04/2020,Delhi,22283,Tested,1893,17449,2799,,,,,,,,,https://twitter.com/CMODelhi/status/1251559869494198282?s=19,,8.50%,1.12,1125,,,,
19/04/2020,Delhi,24387,Tested,2003,19393,2872,,,,,,,,,https://twitter.com/CMODelhi/status/1251923081699811328?s=09,,8.21%,1.23,1231,,,,
20/04/2020,Delhi,25900,Tested,2081,20712,2711,,,,,,,,,https://twitter.com/CMODelhi/status/1252276384166100994/photo/2,,8.03%,1.31,1307,,,,
21/04/2020,Delhi,26627,Tested,2156,21810,2354,,,,,,,,,https://twitter.com/CMODelhi/status/1252608476578078721/photo/2,,8.10%,1.34,1344,,,,
22/04/2020,Delhi,28309,Tested,2248,22713,3018,,,,,,,,,https://twitter.com/CMODelhi/status/1252978551088984066/photo/2,,7.94%,1.43,1429,,,,
23/04/2020,Delhi,30560,Tested,2375,24538,3068,,,,,,,,,https://twitter.com/CMODelhi/status/1253345233498226689?s=19,,7.77%,1.54,1542,,,,
24/04/2020,Delhi,33672,Tested,2514,26552,4128,,,,,,,,,https://twitter.com/CMODelhi/status/1253715491987664897/photo/2,,7.47%,1.70,1699,,,,
25/04/2020,Delhi,35519,Tested,2625,28693,3709,,,,,,,,,https://twitter.com/CMODelhi/status/1254081976631545856?s=20,,7.39%,1.79,1793,,,,
26/04/2020,Delhi,37613,Tested,2918,31919,2533,,,,,,,,,https://twitter.com/CMODelhi/status/1254453744063754240?s=09,,7.76%,1.90,1898,,,,
27/04/2020,Delhi,39911,Tested,3108,34145,2401,,,,,,,,,https://twitter.com/CMODelhi/status/1254813927067668480/photo/2,,7.79%,2.01,2014,,,,
28/04/2020,Delhi,43370,Tested,3314,36195,3295,,,,,,,,,https://twitter.com/CMODelhi/status/1255176666017492995/photo/2,,7.64%,2.19,2189,,,,
29/04/2020,Delhi,47225,Tested,3439,39920,,,,,,,,,,https://twitter.com/CMODelhi/status/1255550560348049411,,7.28%,2.38,2383,,,,
30/04/2020,Delhi,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
01/05/2020,Delhi,,Tested,,,,,,,,,,,,,,,0.00,0,,,,
02/05/2020,Delhi,58210,Tested,4122,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2002.05.2020.pdf,,7.08%,2.94,2938,,,,
03/05/2020,Delhi,60246,Tested,4549,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2003.05.2020.pdf,,7.55%,3.04,3041,,,,
04/05/2020,Delhi,64108,Tested,4898,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2004.05.2020.pdf,,7.64%,3.24,3235,,,,
05/05/2020,Delhi,67852,Tested,5104,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2005.05.2020.pdf,,7.52%,3.42,3424,,,,
06/05/2020,Delhi,71934,Tested,5532,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2006.05.2020.pdf,,7.69%,3.63,3630,,,,
07/05/2020,Delhi,77234,Tested,5980,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi%20Health%20Bulletin_COVID-19%20-%2007.05.2020.pdf,,7.74%,3.90,3898,,,,
08/05/2020,Delhi,81367,Tested,6318,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-08.05.2020.pdf,,7.76%,4.11,4107,,,,
09/05/2020,Delhi,84226,Tested,6542,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-09.05.2020.pdf,,7.77%,4.25,4251,,,,
10/05/2020,Delhi,93810,Tested,6923,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-10.05.2020.pdf,,7.38%,4.73,4735,,,,
11/05/2020,Delhi,97678,Tested,7233,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/Delhi-Health-Bulletin_COVID-19-11.05.2020.pdf,,7.40%,4.93,4930,,,,
12/05/2020,Delhi,106109,Tested,7639,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-12-1.pdf,,,,,,,,
13/05/2020,Delhi,113345,Tested,7998,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-13.pdf,,,,,,,,
02/04/2020,Goa,220,Samples Sent,5,197,18,,,,,,,,,https://www.goa.gov.in/wp-content/uploads/2020/04/Media-Bulletin-02.04.2020.pdf,,2.27%,0.14,143,1540000,,,
09/04/2020,Goa,344,Samples Sent,7,,,,,,,,,,,https://twitter.com/dip_goa/status/1248237654258352129?s=09,,2.03%,0.22,223,,,,
10/04/2020,Goa,354,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1248609175241764872/photo/1,,1.98%,0.23,230,,,,
11/04/2020,Goa,,Samples Sent,,,,,,,,,,,,,,,0.00,0,,,,
12/04/2020,Goa,406,Samples Sent,7,,,141,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1249332036751347713,,1.72%,0.26,264,,,,
13/04/2020,Goa,440,Samples Sent,7,,,202,Facility,,,,,,,https://t.me/indiacovid/2180,,1.59%,0.29,286,,,,
14/04/2020,Goa,479,Samples Sent,7,,,202,Facility,,,,,,,https://t.me/indiacovid/2280,,1.46%,0.31,311,,,,
15/04/2020,Goa,556,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1250412621158690818?s=19,,1.26%,0.36,361,,,,
16/04/2020,Goa,611,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1250772892956028930?s=19,,1.15%,0.40,397,,,,
17/04/2020,Goa,673,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1251147496824303620,,1.04%,0.44,437,,,,
18/04/2020,Goa,758,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1251500960444104704,,0.92%,0.49,492,,,,
19/04/2020,Goa,826,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1251858305669980160,,0.85%,0.54,536,,,,
20/04/2020,Goa,901,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1252228312107118593,,0.78%,0.59,585,,,,
21/04/2020,Goa,1004,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1252606575077847040,,0.70%,0.65,652,,,,
22/04/2020,Goa,1116,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1253201084950016000?s=19,,0.63%,0.72,725,,,,
23/04/2020,Goa,1206,Samples Sent,7,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1253330859903479814,,0.58%,0.78,783,,,,
24/04/2020,Goa,,Samples Sent,,,,,,,,,,,,,,,0.00,0,,,,
27/04/2020,Goa,1541,Samples Sent,7,,,316,Facility,,,,,,,https://nhm.goa.gov.in/,,0.45%,1.00,1001,,,,
28/04/2020,Goa,1776,Samples Sent,7,,,330,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1255132758822678530?s=19,,0.39%,1.15,1153,,,,
29/04/2020,Goa,1871,Samples Sent,7,,,347,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1255509839742148608?s=09,,0.37%,1.21,1215,,,,
30/04/2020,Goa,2031,Samples Sent,7,,,430,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1255876950222008320/photo/1,,0.34%,1.32,1319,,,,
01/05/2020,Goa,2181,Samples Sent,7,,,468,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1256231452225798144/photo/1,,0.32%,1.42,1416,,,,
02/05/2020,Goa,2372,Samples Sent,7,,,584,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1256595499823529985?s=09,,0.30%,1.54,1540,,,,
03/05/2020,Goa,2548,Samples Sent,7,,,805,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1256951473553850371?s=09,,0.27%,1.65,1655,,,,
04/05/2020,Goa,2899,Samples Sent,7,,,981,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1257325604912824321?s=19,,0.24%,1.88,1882,,,,
05/05/2020,Goa,3096,Samples Sent,7,,,1063,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1257683623370805250?s=19,,0.23%,2.01,2010,,,,
06/05/2020,Goa,3411,Samples Sent,7,,,1251,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1258058668999835648/photo/1,,0.21%,2.21,2215,,,,
07/05/2020,Goa,,,,,,,Facility,,,,,,,,,,0.00,0,,,,
08/05/2020,Goa,4140,Samples Sent,7,,,1661,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1258776339311521793?s=09,,0.17%,2.69,2688,,,,
09/05/2020,Goa,4524,Samples Sent,7,,,1974,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1259136672094019585?s=19,,0.15%,2.94,2938,,,,
10/05/2020,Goa,4848,Samples Sent,7,,,2223,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1259500127976226819?s=09,,0.14%,3.15,3148,,,,
11/05/2020,Goa,5307,Samples Sent,7,,,2503,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1259877518787481602,,0.13%,3.45,3446,,,,
12/05/2020,Goa,,,,,,,,,,,,,,,,,,,,,,
13/05/2020,Goa,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,Gujarat,4224,Tested,186,3905,133,12299,All Included,,,,1761,,,https://t.me/indiacovid/1850?single,,4.40%,0.06,62,67936000,,,
09/04/2020,Gujarat,,,,,,,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0904092020080952519.pdf,,,0.00,0,,,,
10/04/2020,Gujarat,7718,Tested,378,7237,103,,All Included,,,,,,,https://t.me/indiacovid/1994?single,,4.90%,0.11,114,,,,
11/04/2020,Gujarat,9763,Tested,468,8888,407,12042,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/,,4.79%,0.14,144,,,,
12/04/2020,Gujarat,11715,Tested,516,10867,332,14013,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1204122020080245240.pdf,https://gujcovid19.gujarat.gov.in/,4.40%,0.17,172,,,,
13/04/2020,Gujarat,14251,Tested,572,12970,709,,All Included,14204,,,,,,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1304132020080356644.pdf,4.01%,0.21,210,,,,
14/04/2020,Gujarat,14980,Tested,617,14363,,,All Included,,,,,,41112,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1404142020112010574.pdf,4.12%,0.22,221,,,,
15/04/2020,Gujarat,19197,Tested,766,18431,0,15147,All Included,,,,,,,https://t.me/indiacovid/2364?single,,3.99%,0.28,283,,,,
16/04/2020,Gujarat,20903,Tested,929,19974,0,14906,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1604162020113223580.pdf,,4.44%,0.31,308,,,,
17/04/2020,Gujarat,23483,Tested,1099,22339,45,15914,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1704172020075526411.pdf,,4.68%,0.35,346,,,,
18/04/2020,Gujarat,26102,Tested,1376,24726,0,16925,All Included,,,,,,,https://twitter.com/PIBAhmedabad/status/1251515915323289601,,5.27%,0.38,384,,,,
19/04/2020,Gujarat,29104,Tested,1743,27361,0,18540,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1904192020081511588.pdf,,5.99%,0.43,428,,,,
20/04/2020,Gujarat,33316,Tested,1939,31377,0,23749,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2004202020085436665.pdf,,5.82%,0.49,490,,,,
21/04/2020,Gujarat,36829,Tested,2178,34651,0,30354,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2104212020084254089.pdf,,5.91%,0.54,542,,,,
22/04/2020,Gujarat,39421,Tested,2407,37014,0,32317,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2204222020082020535.pdf,https://gujcovid19.gujarat.gov.in/,6.11%,0.58,580,,,,
23/04/2020,Gujarat,42384,Tested,2624,39760,0,34409,All Included,,,,28,,53060,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2304232020085856435.pdf,,6.19%,0.62,624,,,,
24/04/2020,Gujarat,46743,Tested,2815,41007,2921,33734,All Included,,,,,,54151,https://gujcovid19.gujarat.gov.in/,,6.02%,0.69,688,,,,
25/04/2020,Gujarat,48315,Tested,3061,45254,0,36730,All Included,,,,30,,55188,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2504252020100330249.pdf,,6.34%,0.71,711,,,,
26/04/2020,Gujarat,51091,Tested,3301,47790,0,39535,All Included,,,,27,,56269,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2604262020085308375.pdf,,6.46%,0.75,752,,,,
27/04/2020,Gujarat,53575,Tested,3547,50028,0,40851,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2704272020081006359.pdf,,6.62%,0.79,789,,,,
28/04/2020,Gujarat,56101,Tested,3774,52327,0,41417,All Included,,,,,,58828,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2804282020081458432.pdf,,6.73%,0.83,826,,,,
29/04/2020,Gujarat,59488,Tested,4082,55406,0,42390,All Included,,,,,,60855,https://twitter.com/PIBAhmedabad/status/1255510142499643393,,6.86%,0.88,876,,,,
30/04/2020,Gujarat,64007,Tested,4395,59612,0,45089,All Included,,,,,,65325,https://gujcovid19.gujarat.gov.in/uploads/pressbrief3004302020081246734.pdf,,6.87%,0.94,942,,,,
01/05/2020,Gujarat,68774,Tested,4721,64053,0,43871,All Included,,,,,,72248,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0105012020085136642.pdf,,6.86%,1.01,1012,,,,
02/05/2020,Gujarat,74116,Tested,5054,69062,0,45739,All Included,,,,,,75691,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0205022020080859502.pdf,,6.82%,1.09,1091,,,,
03/05/2020,Gujarat,80060,Tested,5428,74632,0,47147,All Included,,,,,,85937,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0305032020084023552.pdf,,6.78%,1.18,1178,,,,
04/05/2020,Gujarat,84648,Tested,5804,78844,0,50983,All Included,,,,,,87996,https://gujcovid19.gujarat.gov.in/,,6.86%,1.25,1246,,,,
05/05/2020,Gujarat,89632,Tested,6245,83387,0,50612,All Included,,,,,,89902,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0505052020082704549.pdf,,6.97%,1.32,1319,,,,
06/05/2020,Gujarat,95191,Tested,6625,88566,0,58063,All Included,,,,,,91642,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0605062020084004466.pdf,,6.96%,1.40,1401,,,,
07/05/2020,Gujarat,100553,Tested,7013,93540,0,66861,All Included,,,,,,93508,https://t.me/indiacovid/4220?single,,6.97%,1.48,1480,,,,
08/05/2020,Gujarat,105386,Tested,7403,97984,0,77798,All Included,,,,,,95161,https://gujcovid19.gujarat.gov.in/,,7.02%,1.55,1551,,,,
09/05/2020,Gujarat,109650,Tested,7797,101853,0,88864,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/,,7.11%,1.61,1614,,,,
10/05/2020,Gujarat,113493,Tested,8195,105298,0,103035,All Included,,,,,,98359,https://www.deshgujarat.com/2020/05/10/live-daily-briefing-of-health-department-govt-of-gujarat-by-dr-jayanti-ravi/,,7.22%,1.67,1671,,,,
11/05/2020,Gujarat,116470,Tested,8541,107929,0,116072,All Included,,,,,,99813,https://gujcovid19.gujarat.gov.in/,,7.33%,1.71,1714,,,,
12/05/2020,Gujarat,119536,Tested,8903,110633,0,151147,All Included,,,,,,101105,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1205122020084721437.pdf,7.45%,1.76,1760,,,,
13/05/2020,Gujarat,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,Haryana,1325,Samples Sent,44,938,343,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/BULLETIN%20EVENING03042020.pdf,,3.32%,0.05,46,28672000,,,
07/04/2020,Haryana,2520,Samples Sent,141,1821,558,687,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020Morning.pdf,,5.60%,0.09,88,,,,
08/04/2020,Haryana,2650,Samples Sent,153,1885,612,545,,,8649,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020%20evening.pdf,,5.77%,0.09,92,,,,
09/04/2020,Haryana,2964,Samples Sent,156,2017,719,799,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2009042020evening.pdf,,5.26%,0.10,103,,,,
10/04/2020,Haryana,3527,Samples Sent,162,2447,918,914,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2010042020%20evening.pdf,,4.59%,0.12,123,,,,
11/04/2020,Haryana,3663,Samples Sent,165,2472,1026,,,,,,,,,https://t.me/indiacovid/2051,,4.50%,0.13,128,,,,
12/04/2020,Haryana,3903,Samples Sent,181,2513,1209,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin12042020%20evening.pdf,,4.64%,0.14,136,,,,
13/04/2020,Haryana,4489,Samples Sent,182,2961,1346,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%201342020%20Evening.pdf,http://www.nhmharyana.gov.in/page.aspx?id=208,4.05%,0.16,157,,,,
14/04/2020,Haryana,5210,Samples Sent,184,3681,1345,,,,,,,,,http://www.nrhmhp.gov.in/,http://www.nhmharyana.gov.in/page.aspx?id=208,3.53%,0.18,182,,,,
