Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine...12,Tag (People in Quarantine),Total People Released From Quarantine,Total People Currently in Quarantine...15,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumilative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation),Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumuilative Number of Symptomatic Cases,Cumuilative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3
26/09/2020,Andhra Pradesh,NA,NA,NA,5523786,Tested,NA,4855035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1309833472161255425?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
27/09/2020,Andhra Pradesh,NA,NA,NA,5600202,Tested,NA,4924528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1310199123795009537?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
28/09/2020,Andhra Pradesh,NA,NA,NA,5666323,Tested,NA,4985162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1310578121540734976?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
29/09/2020,Andhra Pradesh,NA,NA,NA,5734752,Tested,NA,5047401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1310932002472964097?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
30/09/2020,Andhra Pradesh,NA,NA,NA,5806558,Tested,NA,5113074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1311281095103533056?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
01/10/2020,Andhra Pradesh,NA,NA,NA,5878135,Tested,NA,5177900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1311637217702420480?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
02/10/2020,Andhra Pradesh,NA,NA,NA,5948534,Tested,NA,5241744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1312017815491149824?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
03/10/2020,Andhra Pradesh,NA,NA,NA,6021395,Tested,NA,5308381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1312366956654125056/photo/1,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
04/10/2020,Andhra Pradesh,NA,NA,NA,6094206,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1312729407870570496?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
05/10/2020,Andhra Pradesh,NA,NA,NA,6150351,Tested,NA,5426839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1313100811027714060?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
06/10/2020,Andhra Pradesh,NA,NA,NA,6216240,Tested,NA,5486933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1313452216242454529?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
07/10/2020,Andhra Pradesh,NA,NA,NA,6283009,Tested,NA,5548582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1313805888721833985/photo/1,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
08/10/2020,Andhra Pradesh,NA,NA,NA,6349953,Tested,NA,5610234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1314208553616384000/photo/1,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
09/10/2020,Andhra Pradesh,NA,NA,NA,6420474,Tested,NA,5675610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1314557900157640707?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
10/10/2020,Andhra Pradesh,NA,NA,NA,6494099,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1314908720212537345?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
11/10/2020,Andhra Pradesh,NA,NA,NA,6569616,Tested,NA,5813889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1315266446906122240?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
12/10/2020,Andhra Pradesh,NA,NA,NA,6630728,Tested,NA,5871777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1315629126888296448/photo/1,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
13/10/2020,Andhra Pradesh,NA,NA,NA,6702810,Tested,NA,5939237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1315993948360306689?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,https://twitter.com/ArogyaAndhra/status/1315993948360306689?s=20
14/10/2020,Andhra Pradesh,NA,NA,NA,6772273,Tested,NA,6004808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1316364577882304513?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
15/10/2020,Andhra Pradesh,NA,NA,NA,6846040,Tested,NA,6074537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1316744224901984256/photo/1,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
16/10/2020,Andhra Pradesh,NA,NA,NA,6920377,Tested,NA,6144907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1317100446725464066?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
17/10/2020,Andhra Pradesh,NA,NA,NA,6991258,Tested,NA,6212112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1317446339135852546?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
18/10/2020,Andhra Pradesh,NA,NA,NA,7066203,Tested,NA,6283071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1317823312974675968/photo/1,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
19/10/2020,Andhra Pradesh,NA,NA,NA,7127533,Tested,NA,6341483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1318172942555967489?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,https://twitter.com/ArogyaAndhra/status/1318172886637572096?s=20
20/10/2020,Andhra Pradesh,NA,NA,NA,7196628,Tested,NA,6407075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1318541827989852161?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
21/10/2020,Andhra Pradesh,NA,NA,NA,7271050,Tested,NA,6477751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1318888412976279557?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
22/10/2020,Andhra Pradesh,NA,NA,NA,7347776,Tested,NA,6550857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1319248778075881472?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
23/10/2020,Andhra Pradesh,NA,NA,NA,7428014,Tested,NA,6627330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1319611911911059457,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
24/10/2020,Andhra Pradesh,NA,NA,NA,7502933,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1319964523734855680?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
25/10/2020,Andhra Pradesh,NA,NA,NA,7570352,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1320318092459732997?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
26/10/2020,Andhra Pradesh,NA,NA,NA,7621896,Tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1320705894036828160?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
27/10/2020,Andhra Pradesh,NA,NA,NA,7696653,Tested,NA,6884828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ArogyaAndhra/status/1321061785466593283?s=20,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
28/10/2020,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.ap.gov.in/Covid19_Admin/index.html,NA
09/04/2020,Arunachal Pradesh,NA,NA,NA,206,Samples Collected,1,185,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1248269356070363136?s=19,NA,NA
14/04/2020,Arunachal Pradesh,NA,NA,NA,280,Samples Collected,1,250,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1249901653634867200,NA,NA
17/04/2020,Arunachal Pradesh,NA,NA,NA,363,Samples Collected,1,338,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1251136883045752834,NA,NA
18/04/2020,Arunachal Pradesh,NA,NA,NA,389,Samples Collected,1,358,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/PemaKhanduBJP/status/1251485238477221889,NA,NA
20/04/2020,Arunachal Pradesh,NA,NA,NA,439,Samples Collected,1,405,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ANI/status/1252454869983608832?s=09,NA,NA
21/04/2020,Arunachal Pradesh,NA,NA,NA,454,Samples Collected,1,433,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
22/04/2020,Arunachal Pradesh,NA,NA,NA,496,Samples Collected,2,441,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
24/04/2020,Arunachal Pradesh,NA,NA,NA,526,Samples Collected,2,508,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
26/04/2020,Arunachal Pradesh,NA,NA,NA,568,Samples Collected,2,529,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
27/04/2020,Arunachal Pradesh,NA,NA,NA,584,Samples Collected,2,566,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
28/04/2020,Arunachal Pradesh,NA,NA,NA,610,Samples Collected,2,581,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
29/04/2020,Arunachal Pradesh,NA,NA,NA,662,Samples Collected,2,595,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
30/04/2020,Arunachal Pradesh,NA,NA,NA,694,Samples Collected,2,656,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
01/05/2020,Arunachal Pradesh,NA,NA,NA,724,Samples Collected,2,692,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
02/05/2020,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/05/2020,Arunachal Pradesh,NA,NA,NA,810,Samples Collected,2,761,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
04/05/2020,Arunachal Pradesh,NA,NA,NA,869,Samples Collected,2,762,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
05/05/2020,Arunachal Pradesh,NA,NA,NA,970,Samples Collected,2,814,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
06/05/2020,Arunachal Pradesh,NA,NA,NA,1039,Samples Collected,2,857,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
07/05/2020,Arunachal Pradesh,NA,NA,NA,1144,Samples Collected,2,952,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
08/05/2020,Arunachal Pradesh,NA,NA,NA,1354,Samples Collected,2,1015,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
09/05/2020,Arunachal Pradesh,NA,NA,NA,1597,Samples Collected,2,1266,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,NA,NA
10/05/2020,Arunachal Pradesh,NA,NA,NA,1823,Samples Collected,2,1363,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,NA
11/05/2020,Arunachal Pradesh,NA,NA,NA,2078,Samples Collected,2,1538,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,NA
12/05/2020,Arunachal Pradesh,NA,NA,NA,2257,Samples Collected,2,1798,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,NA
13/05/2020,Arunachal Pradesh,NA,NA,NA,2483,Samples Collected,2,1902,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,NA
14/05/2020,Arunachal Pradesh,NA,NA,NA,2677,Samples Collected,2,2233,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/12?single,http://covid19.itanagarsmartcity.in/covidstatus.php,NA
15/05/2020,Arunachal Pradesh,NA,NA,NA,2942,Samples Collected,2,2546,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/22,http://covid19.itanagarsmartcity.in/covidstatus.php,NA
